requirement_id,requirement_area,original_requirement,current_status,evidence_files,gap_description,next_action,priority,notes
REQ-MECH-001,mechanical_design,Define an industrial three-axis gantry mechanical architecture,partial,"README.md;01_system_design/axis_layout_design.md;01_system_design/mechanical_interface_definition.md;reports/cadquery_rough_assembly_v6_modular_report.md",Architecture and rough module relationships are validated but not detailed to production mounting features,Formalize mechanical interfaces and detailed custom parts in Phase 8,high,v6 is a recommended rough layout not final production design
REQ-MECH-002,mechanical_design,Design X-Z adapter and scan station mounting relationships,partial,"03_cad/freecad_assembly/generate_cadquery_rough_assembly_v6_modular.py;reports/cadquery_rough_assembly_v6_modular_report.md",Adapter and brackets are simplified visual geometry without final hole patterns or tolerances,Convert adapter and sensor brackets into engineering parts with holes and drawings,high,Current geometry explains the mounting chain only
REQ-STD-001,standard_parts,Select real standard parts for X/Y/Z axes gripper scanner and sensor,partial,"01_system_design/axis_component_selection.md;02_bom/standard_parts_selection_report.md;reports/cad_file_check_report.md",Major components are selected and CAD is checked but procurement-grade final selection package is incomplete,Freeze final vendor part numbers and procurement list,high,20 supported CAD files currently pass file checks
REQ-CUST-001,custom_parts,Create custom racks bins base plate sample tubes and placeholders,done,"reports/stage_3c_sample_and_bin_model_report.md;reports/sample_tube_geometry_v2_report.md;03_cad/custom_parts",Custom rough parts exist for layout and simulation,Review and convert rough custom parts into manufacturable designs,medium,Sample tube v2 and rack/bin geometry support planning
REQ-MAT-001,materials,Define material plan for custom and structural parts,partial,"01_system_design/material_plan.md;02_bom/material_list_template.csv",Material direction exists but final material list and finish/specification release are incomplete,Create material list xlsx/csv release aligned with detailed drawings,medium,Needs final custom part geometry first
REQ-CAD-001,CAD_assembly,Generate a visible whole-system rough assembly,done,"03_cad/freecad_assembly/blood_sorting_robot_cadquery_rough_layout_v6.step;reports/cadquery_rough_assembly_v6_modular_report.md",Rough assembly is complete but not final engineering CAD,Use v6 as reference while moving to detailed CAD in Phase 8,high,SolidWorks 2026 manual check passed for v6
REQ-CAD-002,CAD_assembly,Preserve a stable automated CAD assembly route,done,"03_cad/freecad_assembly/generate_cadquery_rough_assembly_v6_modular.py;reports/project_requirements_traceability_matrix_v1.csv",CadQuery/OCP route is validated for rough assembly only,Keep CadQuery/OCP as rough layout generator and avoid SolidWorks COM as main route,medium,FreeCAD and SolidWorks COM are not current main routes
REQ-MFG-001,manufacturability,Plan manufacturable custom parts and assembly process,partial,"08_manufacturing_package/manufacturing_notes.md;08_manufacturing_package/assembly_instruction.md;01_system_design/custom_part_boundary_definition.md",Manufacturing notes and boundaries exist but no released drawings tolerances or inspection-ready package,Develop Phase 8 engineering drawings and Phase 10 manufacturing package,high,Current assembly instructions are draft-level
REQ-KIN-001,kinematics,Establish X/Y/Z kinematic model and reachable workspace,partial,"04_simulation/task_planning/sorting_coordinate_model_v1.md;04_simulation/task_planning/reachability_check_v1.csv;reports/stage_6a_sorting_task_reachability_report.md",Discrete task coordinates are checked but formal axis kinematics model is not built,Create Phase 7 axis kinematics model and path parameterization,high,55 slot/check points are reachable in Stage 6A
REQ-TRAJ-001,trajectory_planning,Generate pick scan place trajectories for all samples,done,"04_simulation/task_planning/pick_scan_place_trajectory_v1.csv;reports/stage_6b_pick_scan_place_trajectory_report.md",Waypoint-level trajectory is complete but not dynamically time-scaled with acceleration or S-curve profiles,Upgrade to trapezoidal or S-curve trajectories in Phase 7,high,288 waypoints checked in Stage 6B
REQ-TRAJ-002,trajectory_planning,Estimate sorting cycle time and bottleneck,done,"04_simulation/task_planning/cycle_time_estimate_v1.csv;04_simulation/task_planning/batch_throughput_summary_v1.csv;reports/stage_6c_cycle_time_throughput_report.md",First-pass estimate ignores acceleration jerk blending and real controller delays,Refine with dynamic model and measured/assumed motor limits in Phase 7,medium,total_batch_time_s=274.273 and bottleneck=motion
REQ-PID-001,PID_control,Run PID tracking simulation and performance analysis,not_started,"05_control/pid_control/.gitkeep;README.md",No PID model simulation error curves RMSE or control input plots exist,Start Phase 7 PID tracking simulation,high,Do not claim control performance until simulated
REQ-DYN-001,dynamics_model,Build equivalent dynamics model for X/Y/Z axes,not_started,"05_control/motor_sizing/preliminary_motor_sizing_note.md;04_simulation/matlab/.gitkeep;04_simulation/simulink/.gitkeep",Motor sizing note exists but no formal mass/inertia/dynamics model is implemented,Create three-axis equivalent dynamics model in Phase 7,high,CAD mass properties are still approximate
REQ-VIS-001,visualization,Create sorting process visualization,done,"04_simulation/task_planning/figures/sorting_process_top_view_v1.gif;reports/stage_6e_sorting_animation_report.md",2D top-view animation exists but no 3D digital twin exists,Use 2D animation for reports and plan 3D digital twin in Phase 9,medium,Stage 6E is presentation-level not physics simulation
REQ-VIS-002,visualization,Build Isaac Sim or similar 3D visualization/digital twin,not_started,"04_simulation/isaac_sim/.gitkeep;01_system_design/simulation_platform_plan.md",Isaac Sim workspace and plan exist but no USD scene or 3D simulation is created,Implement Isaac Sim or Blender/Three.js visualization in Phase 9,medium,Can use simpler Blender/Three.js fallback if Isaac Sim is heavy
REQ-SAFE-001,safety,Define safety and exception handling logic,partial,"01_system_design/safety_design.md;01_system_design/failure_handling_logic.md;reports/stage_6d_failure_handling_simulation_report.md",Exception logic is simulated but physical safety devices and risk analysis are incomplete,Add E-stop guards limit switches and safety validation in Phase 8/10,high,Stage 6D validates logical exceptions only
REQ-ELEC-001,electrical_layout,Plan electrical layout wiring control box sensors and E-stop,not_started,"01_system_design/system_architecture.md;README.md",No detailed wiring diagram control box layout IO map or cable routing exists,Create electrical layout and IO list after Phase 8 component placement,medium,Control box and cable chain remain deferred
REQ-BOM-001,BOM,Create BOM material list and procurement planning,partial,"02_bom/standard_parts_bom_v1.csv;02_bom/custom_parts_bom_v1.csv;02_bom/material_list_template.csv;02_bom/vendor_download_list_v1.md",BOM templates and early BOM files exist but final released BOM xlsx/procurement list is incomplete,Produce Phase 10 BOM xlsx material list and procurement release,high,Depends on detailed mechanical design completion
REQ-DRW-001,engineering_drawings,Generate engineering drawings for custom parts and assembly,not_started,"08_manufacturing_package/drawings_pdf/.gitkeep;08_manufacturing_package/drawings_dwg/.gitkeep",No released engineering drawings with dimensions tolerances and hole patterns exist,Generate drawing package in Phase 8/10,high,Current CAD is rough assembly only
REQ-DOC-001,documentation,Maintain project documentation and staged reports,partial,"README.md;reports/stage_6a_sorting_task_reachability_report.md;reports/stage_6e_sorting_animation_report.md",Staged documentation exists but final integrated document set is not complete,Consolidate evidence and update final report in Phase 10,medium,README is extensive but should be curated before delivery
REQ-REP-001,final_report,Produce final course/design report,partial,"07_report/project_report.md;reports/project_gap_analysis_and_next_phase_plan.md",A report placeholder exists but final results narrative and figures are not assembled,Complete final report after Phase 7-9 evidence exists,high,Current analysis identifies missing final content
REQ-PPT-001,defense_presentation,Prepare PPT outline and defense script,partial,"07_report/ppt_outline.md;07_report/defense_script.md;04_simulation/task_planning/figures/sorting_process_top_view_v1.gif",Outline and script placeholders exist but final slides and defense story are incomplete,Build final PPT and script in Phase 10,medium,Stage 6E animation is useful for defense visuals
REQ-FAIL-001,trajectory_planning,Validate abnormal sorting routes for scan fail unknown category full bin and gripper failures,done,"04_simulation/task_planning/failure_handling_simulation_v1.csv;reports/stage_6d_failure_handling_simulation_report.md",Discrete logic simulation exists but no controller-level recovery implementation exists,Carry exception states into Phase 6F/Phase 10 control documentation,medium,baseline_run_status=PASS_NO_ALARM
