component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
left_y_motor_mounting_plate,left_y_compact_motor_v1,machined_motor_mount_plate,drive_mount_plate,0.54,0.55,0.56,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
left_y_motor_flange,left_y_compact_motor_v1,dark_motor_mounting_flange,drive_motor_flange,0.18,0.18,0.19,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
left_y_compact_motor_body,left_y_compact_motor_v1,compact_black_stepper_servo_placeholder,drive_motor_body,0.06,0.06,0.065,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
left_y_motor_short_coupler,left_y_compact_motor_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
left_y_drive_end_cover,left_y_compact_motor_v1,graphite_drive_end_cover,drive_cover,0.12,0.12,0.13,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
left_y_motor_mount_fastener_-22_116,left_y_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
left_y_motor_mount_fastener_-22_156,left_y_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
left_y_motor_mount_fastener_22_116,left_y_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
left_y_motor_mount_fastener_22_156,left_y_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:left_y_compact_motor_v1,compact_motor; small rear/end-mounted left Y motor replaces oversized free motor block
right_y_motor_mounting_plate,right_y_compact_motor_v1,machined_motor_mount_plate,drive_mount_plate,0.54,0.55,0.56,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
right_y_motor_flange,right_y_compact_motor_v1,dark_motor_mounting_flange,drive_motor_flange,0.18,0.18,0.19,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
right_y_compact_motor_body,right_y_compact_motor_v1,compact_black_stepper_servo_placeholder,drive_motor_body,0.06,0.06,0.065,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
right_y_motor_short_coupler,right_y_compact_motor_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
right_y_drive_end_cover,right_y_compact_motor_v1,graphite_drive_end_cover,drive_cover,0.12,0.12,0.13,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
right_y_motor_mount_fastener_-22_116,right_y_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
right_y_motor_mount_fastener_-22_156,right_y_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
right_y_motor_mount_fastener_22_116,right_y_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
right_y_motor_mount_fastener_22_156,right_y_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:right_y_compact_motor_v1,compact_motor; small rear/end-mounted right Y motor replaces oversized free motor block
x_motor_end_mounting_plate,x_axis_compact_motor_v1,machined_motor_mount_plate,drive_mount_plate,0.54,0.55,0.56,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
x_motor_flange,x_axis_compact_motor_v1,dark_motor_mounting_flange,drive_motor_flange,0.18,0.18,0.19,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
x_axis_compact_motor_body,x_axis_compact_motor_v1,compact_black_stepper_servo_placeholder,drive_motor_body,0.06,0.06,0.065,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
x_motor_short_coupler,x_axis_compact_motor_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
x_drive_end_cover,x_axis_compact_motor_v1,graphite_drive_end_cover,drive_cover,0.12,0.12,0.13,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
x_motor_mount_fastener_98_300,x_axis_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
x_motor_mount_fastener_98_340,x_axis_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
x_motor_mount_fastener_142_300,x_axis_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
x_motor_mount_fastener_142_340,x_axis_compact_motor_v1,dark_drive_fastener_marker,drive_fastener,0.03,0.03,0.032,1.0,generated:x_axis_compact_motor_v1,"compact_motor; compact X motor mounted at the left X-axis end, high above tube work area"
left_y_drive_pulley,y_axis_pulley_belt_paths_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
left_y_front_idler_pulley,y_axis_pulley_belt_paths_v1,brushed_aluminum_timing_pulley,drive_pulley,0.66,0.66,0.62,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
left_y_timing_belt_outer_run,y_axis_pulley_belt_paths_v1,matte_black_timing_belt_concept,drive_belt,0.01,0.01,0.012,1.0,generated:y_axis_pulley_belt_paths_v1,belt_pulley_path; simplified Y drive/idler pulleys and timing belt runs along outboard Y axes
