review_item,source_file,count_or_value,review_result,risk_level,accepted_for_current_stage,requires_future_action,future_action,notes
parameter_set_count,axis_servo_pid_parameters_v1.csv,3,PASS,low,yes,no,None for current review.,parameter_sets=aggressive_pid;balanced_pid;conservative_pid; full_xyz_sets=3
recommended_parameter_unique,axis_tracking_parameter_comparison_v1.csv,1,PASS,low,yes,no,None for current review.,recommended_parameter_set=balanced_pid
balanced_pid_selection_reason,axis_tracking_parameter_comparison_v1.csv,balanced_pid,PASS,low,yes,no,Keep aggressive_pid as faster but higher-risk option; keep balanced_pid as concept default.,balanced has within_tolerance_rate=1.0 and low overshoot risk; aggressive has lower RMSE but medium overshoot risk; conservative fails tolerance.
x_tracking_error_reasonableness,axis_tracking_error_summary_v1.csv,rmse=0.082; max=1.354; tolerance=2.0,PASS,low,yes,no,Patch Stage 7B-6 tracking model or parameter table if this fails.,X tracking_status=PASS; worst_task_id=TASK-7B1-022
y_tracking_error_reasonableness,axis_tracking_error_summary_v1.csv,rmse=0.054; max=1.112; tolerance=2.0,PASS,low,yes,no,Patch Stage 7B-6 tracking model or parameter table if this fails.,Y tracking_status=PASS; worst_task_id=TASK-7B1-019
z_tracking_error_reasonableness,axis_tracking_error_summary_v1.csv,rmse=0.048; max=0.402; tolerance=1.0,PASS,low,yes,no,Patch Stage 7B-6 tracking model or parameter table if this fails.,Z tracking_status=PASS; worst_task_id=TASK-7B1-001
within_tolerance_rate_check,axis_tracking_parameter_comparison_v1.csv,1.0,PASS,medium,yes,yes,Future higher-fidelity model should use S-curve command profiles and measured plant limits.,within_tolerance_rate=1.0 is plausible for simplified first-order concept tracking after selecting balanced_pid; it is optimistic for hardware.
zero_error_overfit_check,axis_servo_tracking_trace_v1.csv,zero_error_rate=0.982,WARNING,medium,yes,yes,"Keep explicit concept-level limitation; future model should add command shaping, encoder quantization, disturbance, and load effects.",zero_error_count=325556; recommended_trace_rows=331395
controller_output_spike_check,axis_servo_tracking_trace_v1.csv,spike_count=0; max_ratio=1.0,PASS,low,yes,no,Patch clamp logic if controller output exceeds configured velocity limits.,Controller output stays inside configured max_velocity for all parameter sets.
actual_position_continuity_check,axis_servo_tracking_trace_v1.csv,0,PASS,low,yes,no,Inspect task episode segmentation if jumps appear.,Checked per scenario/task/parameter/axis episode with duplicate-time boundary samples skipped.
actual_velocity_continuity_check,axis_servo_tracking_trace_v1.csv,jump_count=0; limit_exceed_count=0; max_ratio=0.867,PASS,low,yes,no,Inspect velocity clamp and reference transitions if this fails.,No obvious velocity jump or configured velocity-limit exceedance found.
actual_acceleration_continuity_check,axis_servo_tracking_trace_v1.csv,jump_count=0; limit_exceed_count=0; max_ratio=1.0,PASS,low,yes,yes,Future S-curve profile should replace ideal reference acceleration placeholders.,No configured acceleration-limit exceedance; acceleration remains a concept indicator.
time_alignment_with_reference_trace,axis_servo_tracking_trace_v1.csv; time_stepped_motion_trace_v1.csv,tracking_rows=994185; expected=994185,PASS,low,yes,no,Regenerate review after patch if trace/reference counts diverge.,reference_rows=110465; per_parameter_axis_count_ok=True; time_nonmonotonic=0
z_motion_bottleneck_consistency,axis_tracking_error_summary_v1.csv; stage_7b6_axis_servo_pid_tracking_report.md,z_rmse=0.048; z_tolerance=1.0,PASS,low,yes,yes,Continue treating Z as timing-sensitive in later servo/S-curve/load models.,"Z does not have the largest tracking error under balanced_pid, but it has tighter tolerance and lower velocity, consistent with Stage 7B-4 z_motion timing bottleneck."
concept_level_model_limitation,stage_7b6_axis_servo_pid_tracking_report.md,stated,PASS,medium,yes,yes,Keep limitation language in downstream control chapter.,Report states concept-level simulation and not final real hardware performance.
future_s_curve_or_servo_model_need,stage_7b6_axis_servo_pid_tracking_report.md,future calibration required,PASS,medium,yes,yes,"Add real motor, encoder, drive, load, sample period, and S-curve profile in a later stage.",Current model can seed later higher-fidelity servo/load modeling but is not the final model.
deferred_xy_slider_binding_dependency,stage_7b6_axis_servo_pid_tracking_report.md,deferred_not_blocking,PASS,medium,yes,yes,Resolve Stage 7A-3f physical XY slider binding before final mechanical implementation.,Deferred issue is correctly scoped outside abstract control simulation.
