component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
base_plate,base_plate_1200x900x15,base_light_gray,base_plate,0.7,0.72,0.74,1.0,generated:base_plate_1200x900x15,v7 generated 1200 x 900 x 15 mm base plate
adapter_plate,xz_adapter_plate_simplified,adapter_gray,adapter_gray,0.5,0.54,0.56,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
mount_hole_marker_1,xz_adapter_plate_simplified,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
mount_hole_marker_2,xz_adapter_plate_simplified,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
mount_hole_marker_3,xz_adapter_plate_simplified,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
mount_hole_marker_4,xz_adapter_plate_simplified,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
holder_base,scan_tube_holder,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:scan_tube_holder,scan station holder
tube_socket_marker,scan_tube_holder,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:scan_tube_holder,scan station holder
vertical_post,barcode_scanner_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:barcode_scanner_mount_bracket,scanner bracket
scanner_support_arm,barcode_scanner_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:barcode_scanner_mount_bracket,scanner bracket
base_foot,barcode_scanner_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:barcode_scanner_mount_bracket,scanner bracket
vertical_post,photoelectric_sensor_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:photoelectric_sensor_mount_bracket,sensor bracket
sensor_support_arm,photoelectric_sensor_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:photoelectric_sensor_mount_bracket,sensor bracket
base_foot,photoelectric_sensor_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:photoelectric_sensor_mount_bracket,sensor bracket
imported_shape,left_y_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,v7 outer left Y axis clears multi-input box stack
imported_shape,right_y_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,v7 outer right Y axis clears multi-output box stack
imported_shape,x_axis_module_on_gantry,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,v7 central X axis spans input scan and output zones
imported_shape,z_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,v7 vertical Z module aligned to central tool chain
imported_shape,electric_parallel_gripper,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/gripper/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,v7 gripper below Z module
imported_shape,input_box_1,input_box_blue_gray,input_box,0.65,0.76,0.88,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,replaceable 4x6 input box
imported_shape,input_box_2,input_box_blue_gray,input_box,0.65,0.76,0.88,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,replaceable 4x6 input box
imported_shape,input_box_3,input_box_blue_gray,input_box,0.65,0.76,0.88,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,replaceable 4x6 input box
imported_shape,input_box_4,input_box_blue_gray,input_box,0.65,0.76,0.88,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,replaceable 4x6 input box
imported_shape,barcode_scanner,scanner_black,scanner_black,0.06,0.06,0.06,1.0,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,v7.1 scanner tightened around scan tube holder
imported_shape,photoelectric_sensor,sensor_dark_gray,sensor_dark_gray,0.14,0.14,0.14,1.0,03_cad/standard_parts/downloaded/sensors/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,v7.1 presence sensor grouped with scan station
imported_shape,category_A_output_box_4x6,category_A_purple_gray,output_a,0.58,0.45,0.72,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,replaceable 4x6 output box for Category A
imported_shape,category_B_output_box_4x6,category_B_yellow_gray,output_b,0.86,0.75,0.36,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,replaceable 4x6 output box for Category B
imported_shape,category_C_output_box_4x6,category_C_blue_gray,output_c,0.45,0.61,0.82,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,replaceable 4x6 output box for Category C
imported_shape,category_D_output_box_4x6,category_D_red_gray,output_d,0.75,0.42,0.4,1.0,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,replaceable 4x6 output box for Category D
imported_shape,manual_review_bin_2x3,manual_review_gray,manual_review,0.58,0.58,0.58,1.0,03_cad/custom_parts/tube_bins/manual_review_bin_2x3.step,2x3 bin for true abnormal samples only
tube_body_13mm_od,input_box_1_demo_tube_01_purple75,light_gray_body,tube_body,0.78,0.84,0.88,0.55,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
tube_cap,input_box_1_demo_tube_01_purple75,purple_cap,purple,0.45,0.16,0.75,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
curved_white_label_220deg,input_box_1_demo_tube_01_purple75,white_label,tube_label,1.0,1.0,1.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
curved_barcode_stripe_1,input_box_1_demo_tube_01_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
curved_barcode_stripe_2,input_box_1_demo_tube_01_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
curved_barcode_stripe_3,input_box_1_demo_tube_01_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
curved_barcode_stripe_4,input_box_1_demo_tube_01_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
curved_barcode_stripe_5,input_box_1_demo_tube_01_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
curved_barcode_stripe_6,input_box_1_demo_tube_01_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
curved_barcode_stripe_7,input_box_1_demo_tube_01_purple75,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/purple_cap_tube_13x75_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 1
tube_body_13mm_od,input_box_1_demo_tube_02_yellow100,light_gray_body,tube_body,0.78,0.84,0.88,0.55,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 4
tube_cap,input_box_1_demo_tube_02_yellow100,yellow_cap,yellow,1.0,0.82,0.05,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 4
curved_white_label_220deg,input_box_1_demo_tube_02_yellow100,white_label,tube_label,1.0,1.0,1.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 4
curved_barcode_stripe_1,input_box_1_demo_tube_02_yellow100,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 4
curved_barcode_stripe_2,input_box_1_demo_tube_02_yellow100,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 4
curved_barcode_stripe_3,input_box_1_demo_tube_02_yellow100,barcode_black,barcode_black,0.0,0.0,0.0,1.0,03_cad/custom_parts/sample_tube/yellow_cap_tube_13x100_v2.step,demo tube in input_box_1; 4x6 slot row 1 col 4
