component_name,target_x_mm,target_y_mm,target_z_mm,target_rot_x_deg,target_rot_y_deg,target_rot_z_deg,actual_x_mm,actual_y_mm,actual_z_mm,actual_longest_axis,expected_longest_axis,position_error_x_mm,position_error_y_mm,position_error_z_mm,orientation_status,correction_needed,notes
base_plate,0,0,-7.5,0,0,0,,,,,X,,,,,pending_audit,unknown,"Target from 4D corrected table; actual fields to be filled after audit macro."
left_y_axis_module,-360,0,35,0,0,90,,,,,Y,,,,,pending_audit,unknown,"Expected long axis Y after rotation."
right_y_axis_module,360,0,35,0,0,90,,,,,Y,,,,,pending_audit,unknown,"Expected long axis Y after rotation."
x_axis_module_on_gantry,0,0,260,0,0,0,,,,,X,,,,,pending_audit,unknown,"Expected long axis X."
z_axis_module,0,0,220,0,90,0,,,,,Z,,,,,pending_audit,unknown,"Expected vertical long axis; rot_y=90 is a trial value."
electric_parallel_gripper,0,0,120,0,0,0,,,,,Z,,,,,pending_audit,unknown,"Expected gripper approach axis downward; exact bounding axis may depend on model."
input_mixed_tube_rack_4x6,-250,250,17.5,0,0,0,,,,,X,,,,,pending_audit,unknown,"Input rack should sit rear-left on base."
category_A_output_bin_2x3,180,-170,17.5,0,0,0,,,,,X,,,,,pending_audit,unknown,"Category A bin."
category_B_output_bin_2x3,320,-170,17.5,0,0,0,,,,,X,,,,,pending_audit,unknown,"Category B bin; geometry may reuse category A but instance name should differ."
category_C_output_bin_2x3,180,-290,17.5,0,0,0,,,,,X,,,,,pending_audit,unknown,"Category C bin; geometry may reuse category A but instance name should differ."
category_D_output_bin_2x3,320,-290,17.5,0,0,0,,,,,X,,,,,pending_audit,unknown,"Category D bin; geometry may reuse category A but instance name should differ."
manual_review_bin_2x3,-250,-300,17.5,0,0,0,,,,,X,,,,,pending_audit,unknown,"Manual review bin."
scan_station_reference,80,80,40,0,0,0,,,,,X,,,,,pending_audit,unknown,"Scan station reference block."
barcode_scanner,80,160,80,0,0,0,,,,,X,,,,,pending_audit,unknown,"Should face scan station; actual orientation requires audit."
photoelectric_sensor,20,80,60,0,0,0,,,,,X,,,,,pending_audit,unknown,"Should face scan station; actual orientation requires audit."
