tube_id,input_box_id,source_slot_id,tube_present,barcode_status,sample_category,abnormal_flag,abnormal_reason,target_output_box,priority,sample_status,notes
TUBE-7B1-001,input_box_01,R1C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-002,input_box_01,R1C2,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-003,input_box_01,R1C3,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-004,input_box_01,R1C5,true,missing_label,unknown,true,missing label,manual_review,1,abnormal_to_manual_review,true abnormal sample routed to manual review
TUBE-7B1-005,input_box_01,R1C6,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-006,input_box_01,R2C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-007,input_box_01,R2C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-008,input_box_01,R2C4,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-009,input_box_01,R2C5,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-010,input_box_01,R3C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-011,input_box_01,R3C2,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-012,input_box_01,R3C3,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-013,input_box_01,R3C5,true,invalid_barcode,unknown,true,barcode invalid,manual_review,1,abnormal_to_manual_review,true abnormal sample routed to manual review
TUBE-7B1-014,input_box_01,R3C6,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-015,input_box_01,R4C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-016,input_box_01,R4C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-017,input_box_01,R4C4,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-018,input_box_01,R4C5,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-019,input_box_02,R1C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-020,input_box_02,R1C2,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-021,input_box_02,R1C3,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-022,input_box_02,R1C5,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-023,input_box_02,R1C6,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-024,input_box_02,R2C3,true,valid,category_B,false,,output_box_B,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-025,input_box_02,R2C4,true,valid,category_C,false,,output_box_C,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-026,input_box_02,R2C5,true,valid,category_D,false,,output_box_D,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
TUBE-7B1-027,input_box_02,R3C1,true,valid,category_A,false,,output_box_A,3,normal_pending_sort,"normal full-output condition uses category hold, not manual review"
