part_id,part_name_cn,part_name_en,recommended_spec,quantity,function,preferred_format,preferred_source,download_url_candidate,need_manual_download,fallback_model_name,note
SP-001,X轴步进电机,X axis stepper motor,"NEMA17, 42 mm frame, 1.8 deg, 40 mm body",1,驱动X轴横向运动,STEP/STP,McMaster-Carr / 3DContentCentral / GrabCAD,https://www.3dcontentcentral.com/Search.aspx?arg=NEMA%2017%20stepper%20motor,true,fallback_nema17_motor.step,课程设计采用NEMA17外形替代模型，真实型号可按扭矩校核后替换
SP-002,Y轴步进电机,Y axis stepper motor,"NEMA17, 42 mm frame, 1.8 deg, 40 mm body",1,驱动Y轴龙门运动,STEP/STP,McMaster-Carr / 3DContentCentral / GrabCAD,https://www.3dcontentcentral.com/Search.aspx?arg=NEMA%2017%20stepper%20motor,true,fallback_nema17_motor.step,同X轴电机
SP-003,Z轴步进电机,Z axis stepper motor,"NEMA17 compact, 42 mm frame",1,驱动Z轴升降,STEP/STP,3DContentCentral / TraceParts,https://www.traceparts.com/en/search/nema-17-stepper-motor,true,fallback_nema17_motor.step,可选短机身以降低Z轴负载
SP-004,X轴直线导轨,X axis linear rail,"MGN12H/MGN15H rail, 320 mm",1,为X轴滑块提供直线约束,STEP/STP,HIWIN / THK / TraceParts,https://www.traceparts.com/en/search/mgn12h-linear-guide,true,fallback_mgn12_rail.step,候选来源通常需手动选型下载
SP-005,Y轴左侧直线导轨,Y left linear rail,"MGN12H rail, 280 mm",1,支撑左侧Y轴运动,STEP/STP,HIWIN / THK / TraceParts,https://www.traceparts.com/en/search/mgn12-linear-guide,true,fallback_mgn12_rail.step,替代模型按280 mm装配
SP-006,Y轴右侧直线导轨,Y right linear rail,"MGN12H rail, 280 mm",1,支撑右侧Y轴运动,STEP/STP,HIWIN / THK / TraceParts,https://www.traceparts.com/en/search/mgn12-linear-guide,true,fallback_mgn12_rail.step,与左侧导轨成对使用
SP-007,Z轴短行程直线导轨,Z short stroke linear rail,"MGN12H rail, 120 mm",1,约束Z轴升降方向,STEP/STP,HIWIN / TraceParts,https://www.traceparts.com/en/search/mgn12h,true,fallback_mgn12_rail.step,装配中旋转为竖直方向
SP-008,X轴滑块,X axis carriage block,MGN12H carriage,1,承载Z轴模块并沿X轴运动,STEP/STP,HIWIN / TraceParts,https://www.traceparts.com/en/search/mgn12h-block,true,fallback_mgn12_slider.step,替代件含安装孔外形
SP-009,Y轴滑块,Y axis carriage blocks,MGN12H carriage,2,连接X轴横梁与左右Y轴导轨,STEP/STP,HIWIN / TraceParts,https://www.traceparts.com/en/search/mgn12h-block,true,fallback_mgn12_slider.step,左右各一个
SP-010,Z轴滑块,Z axis carriage block,MGN12H carriage,1,连接Z轴安装板和导轨,STEP/STP,HIWIN / TraceParts,https://www.traceparts.com/en/search/mgn12h-block,true,fallback_mgn12_slider.step,用于简化Z轴升降模块
SP-011,T8丝杆或GT2同步带组件,T8 lead screw or GT2 timing belt drive,"T8 lead screw 8 mm pitch or GT2 belt, simplified",3,将电机旋转转换为直线运动,STEP/STP,MISUMI / McMaster-Carr / TraceParts,https://www.misumiusa.com/category/mech/M0100000000/M0116000000/,true,fallback_t8_lead_screw.step; fallback_gt2_belt.step,课程设计中X/Y可用同步带，Z可用T8丝杆等效表示
SP-012,联轴器,Flexible shaft coupling,5 mm to 8 mm flexible coupling,3,连接电机轴与丝杆/传动轴,STEP/STP,McMaster-Carr / MISUMI,https://www.mcmaster.com/shaft-couplings/,true,fallback_coupling.step,替代模型为铝合金开槽联轴器外形
SP-013,轴承座,Bearing block,KP08/BK style small bearing block,6,支撑丝杆或同步带轴端,STEP/STP,McMaster-Carr / TraceParts,https://www.traceparts.com/en/search/bearing-block,true,fallback_bearing_block.step,替代模型为U形轴承座
SP-014,2020或2040铝型材,2020/2040 aluminum extrusion,"2020 profile, 20 mm square",8,搭建龙门支架和加强梁,STEP/STP,MISUMI / McMaster-Carr / GrabCAD,https://www.mcmaster.com/t-slotted-framing-rails/,true,fallback_2020_profile.step,替代模型含T槽特征
SP-015,拖链,Cable drag chain,"Small plastic drag chain, 10 x 15 mm inner",1,保护运动电缆,STEP/STP,IGUS / TraceParts / McMaster-Carr,https://www.igus.com/cable-carriers,true,fallback_cable_chain.step,替代模型由多节链块组成
SP-016,限位开关,Limit switch,Micro switch with lever,6,提供三轴回零和限位信号,STEP/STP,Omron / TraceParts / 3DContentCentral,https://www.traceparts.com/en/search/micro-limit-switch,true,fallback_limit_switch.step,每轴两端可配置
SP-017,扫码/传感器模块外观,Barcode/photoelectric sensor module,Compact barcode scanner or photoelectric sensor mockup,1,识别样本或检测取放位置,STEP/STP,SICK / Keyence / TraceParts,https://www.traceparts.com/en/search/photoelectric-sensor,true,fallback_sensor_module.step,仅建外观和安装支架
SP-018,急停按钮,Emergency stop button,22 mm panel mount mushroom button,1,提供安全急停,STEP/STP,Schneider / TraceParts,https://www.traceparts.com/en/search/emergency-stop-button,true,fallback_emergency_stop.step,安装在控制盒前侧
SP-019,控制盒,Control enclosure,"Plastic/electrical enclosure, approx. 140 x 90 x 55 mm",1,容纳驱动器和控制板,STEP/STP,McMaster-Carr / Hammond / TraceParts,https://www.mcmaster.com/electrical-enclosures/,true,fallback_control_box.step,替代模型带盖板和接线孔
SP-020,螺栓、螺母、垫片,Fasteners,"M3/M4 socket head screws, nuts and washers",1,标准连接紧固件集合,STEP/STP,McMaster-Carr,https://www.mcmaster.com/socket-head-screws/,true,fallback_fasteners.step,以若干示意紧固件表达
SP-021,两指平行夹爪,Two-finger parallel gripper,"Small electric/pneumatic parallel gripper, simplified",1,夹取血液试管,STEP/STP,SMC / Festo / TraceParts,https://www.traceparts.com/en/search/parallel-gripper,true,fallback_parallel_gripper.step,课程设计采用简化两指夹爪替代模型
