component_name,suspected_role,current_location,current_size_estimate,issue_type,collision_risk,recommended_action,notes
left_y_axis_motor_placeholder,left Y drive motor placeholder,near left Y axis side / previous drive placeholder group,oversized grouped block,oversized and not mounted to Y end,high,hide_old_motor_placeholders_replace_with_left_y_compact_motor,Old `motor_placeholders` group is removed from v7.3h preview; compact rear/end motor is added.
right_y_axis_motor_placeholder,right Y drive motor placeholder,near right Y axis side / previous drive placeholder group,oversized grouped block,oversized and not mounted to Y end,high,hide_old_motor_placeholders_replace_with_right_y_compact_motor,Old `motor_placeholders` group is removed from v7.3h preview; compact rear/end motor is added.
x_axis_motor_placeholder,X drive motor placeholder,previous grouped motor area,large/unclear placeholder,unclear mount to X-axis end,medium,replace_with_x_axis_compact_motor_on_left_end,"New X motor is fixed high at the X-axis end mount, away from tube racks."
x_y_motor_mounting_blocks,coarse motor mounting blocks,previous grouped motor module,coarse block set,mounting logic not readable enough,medium,replace_with_compact_mounting_plates,New mounting plates are part of the compact motor components.
x_y_belt_or_pulley_placeholders,coarse belt/pulley placeholders,previous drive transmission placeholder,missing/unclear,drive path not explicit,medium,replace_with_visible_pulleys_and_belt_runs,New visible pulleys and timing belt runs are added.
x_y_idler_placeholders,missing/unclear idlers,axis ends opposite motor,missing/unclear,idler logic not clear,low,add_idler_pulleys,Idler pulleys are added at fixed opposite ends.
x_y_carriage_belt_clamp_placeholders,missing/unclear belt clamp markers,carriage drive points,missing/unclear,belt-to-carriage interface unclear,low,add_belt_clamp_markers,New carriage belt clamp markers are added.
nearest_tube_clearance,visual clearance to racks/tubes,Y motors outboard and rear; X motor high at X end,concept clearance,previous collision concern,low,use_outboard_rear_and_high_axis_end_locations,Clearance is concept-estimated in `xy_drive_clearance_check_v1.csv`.
gripper_path_clearance,clearance to gripper pick path,central pick zone,concept clearance,previous motor could read as near pick zone,low,keep_motors_fixed_outside_pick_zone,New motors are fixed at axis ends and not on the gripper path.
enclosure_front_guard_clearance,clearance to enclosure/front guard,rear/outboard service areas,concept clearance,must avoid guard/access openings,low,keep_drive_in_rear_or_high_axis_zone,Drive components do not use front access area.
floating_motor_issue,motor without clear mount,previous grouped motor placeholder,grouped placeholder,mounting not readable,high,replace_with_mounted_compact_motors,"New motors include flanges, mounting plates, couplers, and drive covers."
