review_item,source_file,count_or_value,review_result,risk_level,accepted_for_current_stage,requires_future_action,future_action,notes
robustness_trial_count,servo_robustness_trial_summary_v1.csv; servo_robustness_tracking_trace_v1.csv,trial_summary=5; tracking_trace=5,PASS,low,yes,no,None for current review.,Required minimum is 5 trials.
scurve_reference_trace_nonempty,scurve_reference_trace_v1.csv,331395,PASS,low,yes,no,None for current review.,S-curve reference trace exists and is nonempty.
robustness_tracking_trace_nonempty,servo_robustness_tracking_trace_v1.csv,1656975,PASS,low,yes,no,None for current review.,"axes=['x', 'y', 'z']"
x_warning_reason,servo_robustness_warning_log_v1.csv; servo_robustness_error_summary_v1.csv,x_max=3.324; preferred_tol=2.0; unacceptable=5.0,WARNING,medium,yes,yes,Carry X transition warning into later S-curve/load tuning.,Axis max error exceeds preferred concept robustness band.
x_max_error_unacceptable_limit_check,servo_robustness_error_summary_v1.csv,max_error=3.324; limit=5.0,PASS,low,yes,no,Patch Stage 7B-7 model or parameters if this fails.,X robustness_status=WARNING
y_max_error_unacceptable_limit_check,servo_robustness_error_summary_v1.csv,max_error=2.568; limit=5.0,PASS,low,yes,no,Patch Stage 7B-7 model or parameters if this fails.,Y robustness_status=PASS
z_max_error_unacceptable_limit_check,servo_robustness_error_summary_v1.csv,max_error=0.695; limit=3.0,PASS,low,yes,no,Patch Stage 7B-7 model or parameters if this fails.,Z robustness_status=PASS
within_tolerance_rate_check,servo_robustness_trial_summary_v1.csv,0.999878,PASS,low,yes,yes,Future physical calibration should revisit tolerance rate with real servo data.,Near-one tolerance rate is reasonable because only short transition samples exceed preferred tolerance.
worst_axis_by_max_error,servo_robustness_error_summary_v1.csv; servo_robustness_trial_summary_v1.csv,x,PASS,low,yes,yes,Review X transition behavior in later profile tuning.,X has the largest isolated transition error.
highest_rms_axis,servo_robustness_error_summary_v1.csv,z,PASS,low,yes,yes,Continue treating Z as sensitive in later control modeling.,Z has lower jerk/velocity assumptions and heavier load factor.
z_axis_load_factor_consistency,servo_robustness_parameters_v1.csv; stage_7b7_servo_robustness_scurve_report.md,z_axis_load_factor=1.25,PASS,low,yes,yes,Use real Z payload and inertia data in later calibration.,Highest RMS axis is Z and report ties this to z_motion sensitivity.
balanced_pid_acceptability,servo_robustness_error_summary_v1.csv; stage_7b7_servo_robustness_scurve_report.md,acceptable=yes,PASS,low,yes,yes,Retune after real hardware parameters are available.,No FAIL rows and all axes remain below unacceptable limits.
robustness_fail_count,servo_robustness_error_summary_v1.csv; servo_robustness_trial_summary_v1.csv; servo_robustness_task_summary_v1.csv,0,PASS,low,yes,no,Patch Stage 7B-7 if any FAIL appears.,No robustness FAIL rows found.
spike_or_outlier_check,servo_robustness_tracking_trace_v1.csv,x>4.0mm:0; y>4.0mm:0; z>2.0mm:0,PASS,low,yes,yes,Use final jerk/servo/load model to re-check outlier thresholds.,No extreme outliers above review thresholds; X warning remains below unacceptable limit.
concept_level_limitation,stage_7b7_servo_robustness_scurve_report.md,stated,PASS,medium,yes,yes,Keep concept-level limitation language in downstream documentation.,Report states this is concept-level and not final hardware validation.
future_real_hardware_calibration_need,stage_7b7_servo_robustness_scurve_report.md,stated,PASS,medium,yes,yes,"Add real motor, driver, encoder, load, control-period, and controller calibration later.",Report lists required real hardware calibration inputs.
deferred_xy_slider_binding_dependency,stage_7b7_servo_robustness_scurve_report.md,deferred_not_blocking,PASS,medium,yes,yes,Resolve Stage 7A-3f before final mechanical implementation.,Deferred XY slider binding is scoped outside abstract robustness simulation.
