interface_id,from_component,to_component,connection_type,fixed_or_moving,custom_or_standard,mounting_method,notes
left_y_slider_to_left_carriage_binding_plate,left_y_axis_module original slider/carriage interface,left_y_slider_binding_plate_v1,slider binding,moving_interface,custom_adapter_to_standard_slider,bolted binding plate and shim,Original Y module is fixed; its slider is the moving interface.
right_y_slider_to_right_carriage_binding_plate,right_y_axis_module original slider/carriage interface,right_y_slider_binding_plate_v1,slider binding,moving_interface,custom_adapter_to_standard_slider,bolted binding plate and shim,Original Y module is fixed; its slider is the moving interface.
left_y_carriage_binding_plate_to_x_beam_left_end,left_y_slider_binding_plate_v1,x_beam_end_adapter_left_v1,binding plate to X beam end,moving_gantry,custom_adapter,bolted adapter seat,X gantry moves with left Y slider.
right_y_carriage_binding_plate_to_x_beam_right_end,right_y_slider_binding_plate_v1,x_beam_end_adapter_right_v1,binding plate to X beam end,moving_gantry,custom_adapter,bolted adapter seat,X gantry moves with right Y slider.
x_axis_module_to_x_beam_saddle,x_axis_module_on_gantry,x_axis_to_x_beam_mounting_saddle_v1,X module to crossbeam,moving_gantry,custom_adapter_to_standard_axis,long saddle with fastener markers,Original X linear module is mounted to X beam.
x_axis_slider_to_z_axis_adapter,x_axis_module original slider/carriage interface,x_slider_to_z_adapter_plate_v1,X slider to Z adapter,moving_interface,custom_adapter_to_standard_slider,backing plate and spacers,Z axis follows original X slider.
z_axis_adapter_to_gripper_module,x_slider_to_z_adapter_plate_v1 / z_axis_module,EndEffectorGripperModuleV1,Z adapter to gripper,moving_tool,custom_adapter_reference,existing v7.3e gripper connection,Gripper module is retained.
y_slider_binding_to_optional_riser_block,Y slider binding plate,0mm shim / riser block,optional riser interface,moving_interface,custom_adapter,"low-profile shim, no height delta selected",A_keep_original_height selected; riser only represented as shim interface.
riser_block_to_x_beam_end_adapter,0mm shim / riser block,x_beam_end_adapter_left/right_v1,riser to X beam end,moving_gantry,custom_adapter,bolted adapter seat,No +20/+30/+40 riser selected.
x_gantry_to_cable_chain_clearance_reference,moving gantry assembly,main cable chain / hose,clearance reference,moving_clearance,layout_reference,no geometry reroute,Accepted cable management v1.2 retained.
x_gantry_to_tube_clearance_reference,moving gantry assembly,tube rack / tube top envelope,clearance reference,motion_clearance,layout_reference,clearance markers and CSV checks,Boxes are not moved.
