review_item,source_file,count,reason,risk_level,accepted_for_current_stage,requires_future_action,future_action,notes
workspace_warning_all_points,trajectory_workspace_check_v1.csv,3560,"All waypoint checks are within conservative placeholder workspace limits, but final CAD-derived calibrated axis soft limits are not available.",medium,yes,yes,Replace placeholder workspace limits with calibrated CAD/axis limits before final simulation acceptance.,WARNING is intentional and prevents pretending placeholder limits are final PASS.
collision_warning_items,trajectory_collision_envelope_check_v1.csv,4110,"Z descend checks occur only at pick/place/scan targets, but exact local CAD clearances are approximate.",medium,yes,yes,Validate local pick/place/scan descents with detailed CAD or Isaac Sim collision bodies.,No collision FAIL rows are present.
collision_not_checked_approximate_items,trajectory_collision_envelope_check_v1.csv,18078,"Cable chain, enclosure, control box, dwell, gripper-action, and other static/sweep relationships use abstract conservative envelopes rather than exact mesh collision bodies.",medium,yes,yes,Run exact SolidWorks / Isaac Sim collision verification using final CAD and moving assemblies.,Large count is expected because each segment is checked against multiple envelope pairs.
workspace_fail_count,trajectory_workspace_check_v1.csv,0,No waypoint exceeded the conservative placeholder workspace bounds.,low,yes,no,None unless calibrated limits later reveal a tighter bound.,
collision_fail_count,trajectory_collision_envelope_check_v1.csv,0,No simplified envelope pre-check produced an obvious collision failure.,low,yes,yes,Still perform final SolidWorks / Isaac Sim collision validation.,
pending_resume_trajectory_consistency,sorting_state_machine_task_result_v1.csv; trajectory_waypoints_v1.csv,16,Forced category_A pending tasks resumed after operator service and then received full place trajectories.,low,yes,no,None for abstract simulation.,resumed_pending=16 with_place_trajectory=16
manual_review_trajectory_consistency,sorting_state_machine_task_result_v1.csv; trajectory_waypoints_v1.csv,18,Completed abnormal manual_review tasks generated manual_review target trajectories.,low,yes,no,None for current abstract state-machine/trajectory layer.,completed_manual_review=18
normal_sample_not_to_manual_review,trajectory_waypoints_v1.csv,0,No normal sample produced a manual_review trajectory.,low,yes,no,None.,This confirms output-full does not become manual_review routing.
pick_failed_no_place_trajectory,trajectory_waypoints_v1.csv,0,Tasks ending in pick_failed_needs_operator_check contain pick/retry waypoints only and no final place waypoint.,low,yes,no,None for current failure-handling abstraction.,operator_check_pick_failures=1
safe_z_xy_motion_rule,trajectory_segments_v1.csv,0,"XY move segments use safe_z, and no low-Z XY crossing over rack/tube was found.",low,yes,yes,Revalidate safe_z against final gripper/tube/rack CAD heights.,xy_move_at_safe_z_segments=820 low_z_crossing=0
deferred_xy_slider_binding_dependency,reports/stage_7b3_trajectory_collision_precheck_report.md,1,Stage 7A-3f XY slider binding is deferred; it does not affect abstract Cartesian task trajectories but affects final mechanical collision validation.,medium,yes,yes,Resolve physical XY slider/carriage binding before final mechanical validation.,Current trajectory work remains an abstract simulation layer.
final_solidworks_or_isaac_required,trajectory_collision_envelope_check_v1.csv,1,Simplified envelope pre-check is not equivalent to final mesh/body collision simulation.,medium,yes,yes,Run final SolidWorks interference and Isaac Sim collision checks with validated CAD.,Required before final mechanical/collision acceptance.
