scenario_id,task_id,time_range,moving_object,sweep_region,checked_against,collision_risk,status,notes
baseline,TASK-7B1-001,segment_duration_s=1.04,gripper_tcp_and_tube_proxy,"x[-240.0,0.0] y[-170.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-001,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-240.0,-240.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-001,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-240.0,-240.0] y[-170.0,-170.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-001,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-240.0,-240.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-001,segment_duration_s=1.075,gripper_tcp_and_tube_proxy,"x[-240.0,0.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-001,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-001,segment_duration_s=1.0,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,155.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-001,segment_duration_s=0.442,gripper_tcp_and_tube_proxy,"x[0.0,0.0] y[20.0,20.0] z[155.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-001,segment_duration_s=0.948,gripper_tcp_and_tube_proxy,"x[0.0,180.0] y[-170.0,20.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-001,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[180.0,180.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-001,segment_duration_s=0.5,gripper_tcp_and_tube_proxy,"x[180.0,180.0] y[-170.0,-170.0] z[135.0,135.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
baseline,TASK-7B1-001,segment_duration_s=0.608,gripper_tcp_and_tube_proxy,"x[180.0,180.0] y[-170.0,-170.0] z[135.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-002,segment_duration_s=0.983,gripper_tcp_and_tube_proxy,"x[-215.0,0.0] y[-170.0,0.0] z[190.0,190.0]",rack/tube/enclosure/control_box conservative envelope,low,PASS,XY sweep occurs at safe_z in conservative proxy.
baseline,TASK-7B1-002,segment_duration_s=0.525,gripper_tcp_and_tube_proxy,"x[-215.0,-215.0] y[-170.0,-170.0] z[145.0,190.0]",rack/tube/enclosure/control_box conservative envelope,medium,WARNING,Local vertical sweep is approximate and requires final CAD/Isaac Sim clearance.
baseline,TASK-7B1-002,segment_duration_s=0.6,gripper_tcp_and_tube_proxy,"x[-215.0,-215.0] y[-170.0,-170.0] z[145.0,145.0]",rack/tube/enclosure/control_box conservative envelope,low,WARNING,Dwell/gripper state change has no broad sweep but target clearance is approximate.
