route_id,source,target,route_type,moving_or_fixed,requires_cable_chain,estimated_cable_group,physical_path,modeled_geometry,notes
R-001,control box,rear fixed cable tray,rear_service_entry,fixed,no,power/control/safety/service,closed control box glands -> short rear stubs -> high rear tray,short cable stubs + rear tray,"Maps CBL-001, internal exits, fixed rear service cables."
R-002,rear fixed cable tray,cable chain fixed end,moving_chain_feed,moving,yes,moving_axis_power/moving_tool_io/moving_limit_io,rear tray -> raised fixed anchor -> main drag chain,anchor + drag-chain fixed end,Uses Stage 7A-3c rear cable-chain mounting tab.
R-003,cable chain moving end,X/Z carriage,moving_bundle,moving,yes,moving_axis_power/moving_tool_io,drag chain moving end -> overhead X/Z carriage bundle,moving cable bundle,Carries X/Z/gripper/tool-side lines.
R-004,cable chain moving end,Z axis,moving_stub,moving,yes,moving_axis_power/moving_limit_io,X/Z carriage bundle -> Z motor and Z limit side,short moving cable stubs,Concept route only.
R-005,cable chain moving end,gripper,moving_tool_stub,moving,yes,moving_tool_io,X/Z carriage bundle -> gripper control,short moving cable stubs,No full harness modeled.
R-006,rear fixed cable tray,barcode scanner,fixed_sensor_stub,fixed,no,scan_station_io,rear tray -> scan station side riser -> scanner,scanner cable stub,Does not cross scan tube.
R-007,rear fixed cable tray,photoelectric sensor,fixed_sensor_stub,fixed,no,scan_station_io,rear tray -> scan station side riser -> photoelectric sensor,photoelectric cable stub,Does not block scanner window.
R-008,rear fixed cable tray,X/Y/Z limit switch placeholders,limit_sensor_stub,mixed,mixed,fixed_limit_io/moving_limit_io,fixed limits use rear service bus; moving limits use cable chain,fixed and moving cable stubs,X/Z moving limit lines follow chain per wiring table.
R-009,rear fixed cable tray,bin full sensor placeholders,fixed_base_sensor_stub,fixed,no,bin_sensor_io,rear tray -> rear/right output-bin sensor bus,fixed sensor bus,Concept-level sensor placeholder route.
R-010,rear fixed cable tray,input tray presence placeholders,fixed_base_sensor_stub,fixed,no,input_sensor_io,rear tray -> rear/left input-box sensor bus,fixed sensor bus,Concept-level sensor placeholder route.
R-011,grounding terminal,machine frame,grounding,fixed,no,grounding,rear tray/control box -> frame/base bond,green grounding placeholder,Concept-level PE bonding route.
