component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
left_front_base_block,y_axis_base_mounting_blocks,machined_support_gray,support_gray,0.46,0.48,0.49,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_front_fastener_-22.0_-13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_front_fastener_-22.0_13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_front_fastener_22.0_-13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_front_fastener_22.0_13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_rear_base_block,y_axis_base_mounting_blocks,machined_support_gray,support_gray,0.46,0.48,0.49,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_rear_fastener_-22.0_-13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_rear_fastener_-22.0_13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_rear_fastener_22.0_-13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_rear_fastener_22.0_13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_front_base_block,y_axis_base_mounting_blocks,machined_support_gray,support_gray,0.46,0.48,0.49,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_front_fastener_-22.0_-13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_front_fastener_-22.0_13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_front_fastener_22.0_-13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_front_fastener_22.0_13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_rear_base_block,y_axis_base_mounting_blocks,machined_support_gray,support_gray,0.46,0.48,0.49,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_rear_fastener_-22.0_-13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_rear_fastener_-22.0_13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_rear_fastener_22.0_-13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
right_rear_fastener_22.0_13.0,y_axis_base_mounting_blocks,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_axis_base_mounting_blocks,support; front/rear mounting blocks tying Y axes to base plate
left_vertical_carriage_plate,y_carriage_adapter_plates,dark_anodized_support,support_dark,0.22,0.23,0.24,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
left_top_gusset,y_carriage_adapter_plates,machined_support_gray,support_gray,0.46,0.48,0.49,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
left_carriage_plate_fastener_01,y_carriage_adapter_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
left_carriage_plate_fastener_02,y_carriage_adapter_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
left_carriage_plate_fastener_03,y_carriage_adapter_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
left_carriage_plate_fastener_04,y_carriage_adapter_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
right_vertical_carriage_plate,y_carriage_adapter_plates,dark_anodized_support,support_dark,0.22,0.23,0.24,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
right_top_gusset,y_carriage_adapter_plates,machined_support_gray,support_gray,0.46,0.48,0.49,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
right_carriage_plate_fastener_01,y_carriage_adapter_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
right_carriage_plate_fastener_02,y_carriage_adapter_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
right_carriage_plate_fastener_03,y_carriage_adapter_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
right_carriage_plate_fastener_04,y_carriage_adapter_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:y_carriage_adapter_plates,support; left/right adapter plates from Y carriage area to X beam support
left_x_beam_end_plate,gantry_cross_beam_support_plates,machined_support_gray,support_gray,0.46,0.48,0.49,1.0,generated:gantry_cross_beam_support_plates,"support; X beam end plates, gussets, and rear tie bar"
left_triangular_gusset_a,gantry_cross_beam_support_plates,dark_anodized_support,support_dark,0.22,0.23,0.24,1.0,generated:gantry_cross_beam_support_plates,"support; X beam end plates, gussets, and rear tie bar"
left_triangular_gusset_b,gantry_cross_beam_support_plates,dark_anodized_support,support_dark,0.22,0.23,0.24,1.0,generated:gantry_cross_beam_support_plates,"support; X beam end plates, gussets, and rear tie bar"
left_x_end_fastener_01,gantry_cross_beam_support_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:gantry_cross_beam_support_plates,"support; X beam end plates, gussets, and rear tie bar"
left_x_end_fastener_02,gantry_cross_beam_support_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:gantry_cross_beam_support_plates,"support; X beam end plates, gussets, and rear tie bar"
left_x_end_fastener_03,gantry_cross_beam_support_plates,black_socket_head_fastener,fastener,0.02,0.02,0.02,1.0,generated:gantry_cross_beam_support_plates,"support; X beam end plates, gussets, and rear tie bar"
right_x_beam_end_plate,gantry_cross_beam_support_plates,machined_support_gray,support_gray,0.46,0.48,0.49,1.0,generated:gantry_cross_beam_support_plates,"support; X beam end plates, gussets, and rear tie bar"
right_triangular_gusset_a,gantry_cross_beam_support_plates,dark_anodized_support,support_dark,0.22,0.23,0.24,1.0,generated:gantry_cross_beam_support_plates,"support; X beam end plates, gussets, and rear tie bar"
