sample_id,input_box_id,input_slot_id,row,col,tube_height_mm,cap_color,barcode_status,category,is_abnormal,abnormal_reason,expected_target_zone,notes
MBOX-001,input_box_1,A1,A,1,75,purple,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-002,input_box_1,A2,A,2,100,yellow,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-003,input_box_1,A3,A,3,75,blue,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-004,input_box_1,A4,A,4,75,red,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-005,input_box_1,A5,A,5,100,purple,missing,unknown,yes,missing_label,manual_review,true abnormal sample for Stage 7C policy coverage
MBOX-006,input_box_1,A6,A,6,75,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-007,input_box_1,B1,B,1,75,blue,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-008,input_box_1,B2,B,2,100,red,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-009,input_box_1,B3,B,3,75,purple,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-010,input_box_1,B4,B,4,75,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-011,input_box_1,B5,B,5,100,blue,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-012,input_box_1,B6,B,6,75,red,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-013,input_box_1,C1,C,1,75,purple,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-014,input_box_1,C2,C,2,100,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-015,input_box_1,C3,C,3,75,blue,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-016,input_box_1,C4,C,4,75,red,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-017,input_box_1,C5,C,5,100,purple,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-018,input_box_1,C6,C,6,75,yellow,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-019,input_box_1,D1,D,1,75,blue,fail,unknown,yes,scan_failed,manual_review,true abnormal sample for Stage 7C policy coverage
MBOX-020,input_box_1,D2,D,2,100,red,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-021,input_box_1,D3,D,3,75,purple,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-022,input_box_1,D4,D,4,75,yellow,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-023,input_box_1,D5,D,5,100,blue,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-024,input_box_1,D6,D,6,75,red,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-025,input_box_2,A1,A,1,75,purple,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-026,input_box_2,A2,A,2,100,yellow,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-027,input_box_2,A3,A,3,75,blue,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-028,input_box_2,A4,A,4,75,red,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-029,input_box_2,A5,A,5,100,purple,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-030,input_box_2,A6,A,6,75,yellow,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-031,input_box_2,B1,B,1,75,blue,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-032,input_box_2,B2,B,2,100,red,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-033,input_box_2,B3,B,3,75,purple,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-034,input_box_2,B4,B,4,75,yellow,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-035,input_box_2,B5,B,5,100,blue,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-036,input_box_2,B6,B,6,75,red,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-037,input_box_2,C1,C,1,75,purple,invalid,unknown,yes,barcode_invalid,manual_review,true abnormal sample for Stage 7C policy coverage
MBOX-038,input_box_2,C2,C,2,100,yellow,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-039,input_box_2,C3,C,3,75,blue,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-040,input_box_2,C4,C,4,75,red,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-041,input_box_2,C5,C,5,100,purple,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-042,input_box_2,C6,C,6,75,yellow,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-043,input_box_2,D1,D,1,75,blue,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-044,input_box_2,D2,D,2,100,red,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-045,input_box_2,D3,D,3,75,purple,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-046,input_box_2,D4,D,4,75,yellow,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-047,input_box_2,D5,D,5,100,blue,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-048,input_box_2,D6,D,6,75,red,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-049,input_box_3,A1,A,1,75,purple,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-050,input_box_3,A2,A,2,100,yellow,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-051,input_box_3,A3,A,3,75,blue,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-052,input_box_3,A4,A,4,75,red,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-053,input_box_3,A5,A,5,100,purple,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-054,input_box_3,A6,A,6,75,yellow,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
MBOX-055,input_box_3,B1,B,1,75,blue,success,Category D,no,,output_D,deterministic demo distribution; cap color is not a category guarantee
MBOX-056,input_box_3,B2,B,2,100,red,success,Category A,no,,output_A,deterministic demo distribution; cap color is not a category guarantee
MBOX-057,input_box_3,B3,B,3,75,purple,success,Category B,no,,output_B,deterministic demo distribution; cap color is not a category guarantee
MBOX-058,input_box_3,B4,B,4,75,yellow,success,unknown,yes,unknown_category,manual_review,true abnormal sample for Stage 7C policy coverage
MBOX-059,input_box_3,B5,B,5,100,blue,success,Category C,no,,output_C,deterministic demo distribution; cap color is not a category guarantee
