interface_id,from_component,to_component,connection_type,fixed_or_moving,custom_or_standard,mounting_method,uses_original_slider,notes
left_y_slider_to_left_adapter_plate,left_y_axis_module original slider/carriage,left_y_slider_top_adapter_plate_v1_2,direct slider top binding,moving_interface,custom_adapter_to_standard_slider,bolted low-profile plate with fastener markers,yes,X gantry sits on the original left Y slider through this plate.
right_y_slider_to_right_adapter_plate,right_y_axis_module original slider/carriage,right_y_slider_top_adapter_plate_v1_2,direct slider top binding,moving_interface,custom_adapter_to_standard_slider,bolted low-profile plate with fastener markers,yes,X gantry sits on the original right Y slider through this plate.
left_adapter_plate_to_x_beam_left_end_mount,left_y_slider_top_adapter_plate_v1_2,left_x_beam_end_mount_v1_2,compact bracket/end seat,moving_gantry,custom_adapter,bolted bridge and L-bracket webs,yes,Left X beam end is visually tied to the left Y slider adapter.
right_adapter_plate_to_x_beam_right_end_mount,right_y_slider_top_adapter_plate_v1_2,right_x_beam_end_mount_v1_2,compact bracket/end seat,moving_gantry,custom_adapter,bolted bridge and L-bracket webs,yes,Right X beam end is visually tied to the right Y slider adapter.
x_beam_end_mounts_to_x_axis_module,left/right_x_beam_end_mount_v1_2,x_axis_module_on_gantry,X module support,moving_gantry,custom_adapter_to_standard_axis,end mount plus small saddle,yes,Original X module remains the real X-axis motion standard part.
x_axis_slider_to_z_axis_adapter,x_axis_module original slider/carriage,x_slider_to_z_adapter_check_v1_2,X slider to Z adapter check,moving_interface,custom_adapter_to_standard_slider,short bolted plate/spacers,yes,Z axis remains bound to original X slider; no TCP needle is added.
z_axis_adapter_to_gripper_module,Z-axis adapter area,EndEffectorGripperModuleV1,tool mount,moving_tool,custom_adapter_reference,existing v7.3e gripper adapter,yes,Gripper module is preserved without modification.
cable_chain_to_x_carriage_short_bundle,moving_flexible_hose_bundle,X/Z carriage strain relief,cable clearance reference,moving_clearance,existing_cable_management,preserve accepted v1.2 hose route,yes,Cable chain/hose is retained and not rerouted.
x_gantry_motion_reference,left/right Y sliders,X gantry assembly,motion reference,moving_gantry,layout_reference,two-slider gantry support,yes,Both Y sliders carry the X gantry assembly.
tube_clearance_reference,X gantry assembly,tube rack / tube top envelope,clearance reference,motion_clearance,layout_reference,CSV-level clearance check,yes,Boxes stay fixed; no external motor over tube area remains.
