axis,limit_type,min_mm,max_mm,source,confidence_level,used_by_simulation,notes
X,hard_limit_estimate,-520,520,Stage 7B workspace placeholder and observed trace range -420..455 mm plus margin,medium,no,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
X,soft_limit_for_planning,-500,500,Calibrated planning envelope for current 7B task-space simulation,medium,yes,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
X,safe_motion_limit,-455,490,Observed Stage 7B trace range plus local margin,medium,yes,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
X,future_cad_verified_limit,-520,520,Placeholder until final CAD/mate/axis verification,low,no,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
Y,hard_limit_estimate,-240,360,Stage 7B workspace placeholder and slot coverage,medium,no,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
Y,soft_limit_for_planning,-220,340,Calibrated planning envelope for current 7B task-space simulation,medium,yes,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
Y,safe_motion_limit,-190,320,Observed Stage 7B trace range -170..300 mm plus local margin,medium,yes,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
Y,future_cad_verified_limit,-240,360,Placeholder until final CAD/mate/axis verification,low,no,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
Z,hard_limit_estimate,80,230,Stage 7B workspace placeholder for vertical travel,medium,no,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
Z,soft_limit_for_planning,125,205,Planning range covering pick/place/scan/safe_z,medium,yes,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
Z,safe_motion_limit,135,190,Observed Stage 7B trace range; XY travel at 190 mm safe_z,medium,yes,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
Z,future_cad_verified_limit,80,230,Placeholder until final Z module/gripper/rack clearance verification,low,no,Estimated/calibrated for abstract simulation; not final hardware limit. XY slider binding deferred affects final workspace certainty.
