priority,component_name,part_id,original_cad_path,recommended_native_output_path,recommended_save_as_type,conversion_needed_for_rough_assembly,notes
Priority A,x_axis_module_on_gantry,SP-001,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,03_cad/solidworks/converted_native/parts/x_axis_module_on_gantry.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority A,z_axis_module,SP-003,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,03_cad/solidworks/converted_native/parts/z_axis_module.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority A,category_A_output_bin_2x3,CP-BIN-A,03_cad/custom_parts/tube_bins/category_A_output_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority A,category_B_output_bin_2x3,CP-BIN-B,03_cad/custom_parts/tube_bins/category_B_output_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_B_output_bin_2x3.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority A,category_C_output_bin_2x3,CP-BIN-C,03_cad/custom_parts/tube_bins/category_C_output_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_C_output_bin_2x3.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority A,category_D_output_bin_2x3,CP-BIN-D,03_cad/custom_parts/tube_bins/category_D_output_bin_2x3.step,03_cad/solidworks/converted_native/parts/category_D_output_bin_2x3.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority A,manual_review_bin_2x3,CP-BIN-MR,03_cad/custom_parts/tube_bins/manual_review_bin_2x3.step,03_cad/solidworks/converted_native/parts/manual_review_bin_2x3.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority A,barcode_scanner,SP-018,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,03_cad/solidworks/converted_native/parts/barcode_scanner.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority A,photoelectric_sensor,SP-017,03_cad/standard_parts/downloaded/sensors/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,03_cad/solidworks/converted_native/parts/photoelectric_sensor.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,yes,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,x_axis_motor,SP-004,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,03_cad/solidworks/converted_native/parts/x_axis_motor.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,y_axis_motor_left_or_common,SP-005,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,03_cad/solidworks/converted_native/parts/y_axis_motor_left_or_common.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,y_axis_motor_right_placeholder_or_sync_note,SP-005,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,03_cad/solidworks/converted_native/parts/y_axis_motor_right_placeholder_or_sync_note.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,z_axis_motor,SP-006,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,03_cad/solidworks/converted_native/parts/z_axis_motor.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,scan_station_reference,CP-SCAN-REF,03_cad/custom_parts/scan_station/scan_station_reference_block.step,03_cad/solidworks/converted_native/parts/scan_station_reference.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,limit_switch_x_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,03_cad/solidworks/converted_native/parts/limit_switch_x_home.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,limit_switch_y_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,03_cad/solidworks/converted_native/parts/limit_switch_y_home.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,limit_switch_z_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,03_cad/solidworks/converted_native/parts/limit_switch_z_home.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,cable_chain_xz,SP-015,03_cad/standard_parts/downloaded/cable_chain/MISUMI_MHPKS204_cable_carrier_R38_18links_v1.step,03_cad/solidworks/converted_native/parts/cable_chain_xz.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,control_box_placeholder,CP-CTRL,03_cad/custom_parts/control_box/control_box_placeholder_160x120x80.step,03_cad/solidworks/converted_native/parts/control_box_placeholder.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,y_axis_sync_mechanism,SP-026,03_cad/custom_parts/y_axis_sync_mechanism/y_axis_sync_shaft_placeholder.step,03_cad/solidworks/converted_native/parts/y_axis_sync_mechanism.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,sample_tube_instances_input_demo,CP-TUBE-SET,03_cad/custom_parts/sample_tube/*.step,03_cad/solidworks/converted_native/parts/sample_tube_instances_input_demo.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
Priority B,sample_tube_instances_output_demo,CP-TUBE-SET,03_cad/custom_parts/sample_tube/*.step,03_cad/solidworks/converted_native/parts/sample_tube_instances_output_demo.SLDPRT,SLDPRT_or_SLDASM_after_manual_import,optional_for_first_rough_layout,"Open original CAD in SolidWorks, accept dialogs, repair if requested, then Save As native CAD. Do not delete original files."
