side,check_item,expected,observed,status,notes
left,adapter_not_inside_rail_center_groove,no low adapter solid inside center groove keepout,split top pads are outside x +/-12 mm keepout; raised bridge crosses above keepout,WARNING,"Keepout is calibrated visual geometry, not vendor final groove data."
left,adapter_not_intruding_rail_running_zone,new connection parts avoid rail running zone,low pads and webs flank keepout; bridge bottom z=126 mm is above keepout z max 118 mm,WARNING,Visual estimate retained as WARNING instead of final PASS.
left,rail_groove_visually_open,rail center groove remains visibly open,central area between split slider pads is left open through the low adapter region,PASS,No slot-filling plate is generated at the rail center line.
left,slider_carriage_still_used_as_support,moving slider/carriage remains support datum,split top pads sit at z=98.600 mm on left/right original Y slider datums,PASS,v1.6 slider binding logic is retained.
left,rail_body_not_used_as_support,fixed rail body must not carry X beam adapter,"rail body top z=72.600 mm, adapter bottom z=98.600 mm",PASS,Rail body is reference only.
left,x_beam_supported_by_slider,X beam load path starts at slider datum,slider datum -> split pads -> raised bridge -> compact saddle -> X axis module,PASS,No floating support step is introduced.
left,no_connection_to_enclosure_frame,adapter must not connect to enclosure,v1.7 components are localized to Y slider and X beam end zones,PASS,Enclosure remains guard only.
left,no_new_motor,no motor or motor-like block,no generated v1.7 motor geometry,PASS,Compact raised bridge is not a drive housing.
left,no_new_rail,no auxiliary rail,no rail component generated by v1.7,PASS,Existing Y/X rail modules are retained.
left,tube_clearance_not_obviously_blocked,tube top and rack openings remain clear,joint remains outboard and above tube top envelope,PASS,No low sweeping plate crosses the tube racks.
right,adapter_not_inside_rail_center_groove,no low adapter solid inside center groove keepout,split top pads are outside x +/-12 mm keepout; raised bridge crosses above keepout,WARNING,"Keepout is calibrated visual geometry, not vendor final groove data."
right,adapter_not_intruding_rail_running_zone,new connection parts avoid rail running zone,low pads and webs flank keepout; bridge bottom z=126 mm is above keepout z max 118 mm,WARNING,Visual estimate retained as WARNING instead of final PASS.
right,rail_groove_visually_open,rail center groove remains visibly open,central area between split slider pads is left open through the low adapter region,PASS,No slot-filling plate is generated at the rail center line.
right,slider_carriage_still_used_as_support,moving slider/carriage remains support datum,split top pads sit at z=98.600 mm on left/right original Y slider datums,PASS,v1.6 slider binding logic is retained.
right,rail_body_not_used_as_support,fixed rail body must not carry X beam adapter,"rail body top z=72.600 mm, adapter bottom z=98.600 mm",PASS,Rail body is reference only.
right,x_beam_supported_by_slider,X beam load path starts at slider datum,slider datum -> split pads -> raised bridge -> compact saddle -> X axis module,PASS,No floating support step is introduced.
right,no_connection_to_enclosure_frame,adapter must not connect to enclosure,v1.7 components are localized to Y slider and X beam end zones,PASS,Enclosure remains guard only.
right,no_new_motor,no motor or motor-like block,no generated v1.7 motor geometry,PASS,Compact raised bridge is not a drive housing.
right,no_new_rail,no auxiliary rail,no rail component generated by v1.7,PASS,Existing Y/X rail modules are retained.
right,tube_clearance_not_obviously_blocked,tube top and rack openings remain clear,joint remains outboard and above tube top envelope,PASS,No low sweeping plate crosses the tube racks.
