component_name,instance_name,cad_file_path,x_mm,y_mm,z_mm,rot_x_deg,rot_y_deg,rot_z_deg,insert_in_4d,critical_for_layout,notes
base_plate,base_plate_1100x900x15_v1,03_cad/solidworks/converted_native/parts/base_plate_1100x900x15.SLDPRT,0,0,-7.5,0,0,0,yes,yes,Base datum plate; initial no-hole design.
left_y_axis_module,left_y_axis_module_v1,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,-360,0,35,0,0,90,yes,yes,MSA-628 geometry reused; rotate about Z so actuator axis follows Y if native default is X; manual orientation check required.
right_y_axis_module,right_y_axis_module_v1,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,360,0,35,0,0,90,yes,yes,MSA-628 geometry reused; distinct instance name for right Y; manual orientation check required.
x_axis_module_on_gantry,x_axis_module_on_gantry_v1,03_cad/solidworks/converted_native/parts/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.SLDASM,0,0,260,0,0,0,yes,yes,MSA-628 geometry reused for gantry X axis; intended along X.
z_axis_module,z_axis_module_v1,03_cad/solidworks/converted_native/parts/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.SLDASM,0,0,220,0,90,0,yes,yes,LS10 must be vertical; rot_y=90 is first trial if native default is along X; manual orientation check required.
electric_parallel_gripper,electric_parallel_gripper_v1,03_cad/solidworks/converted_native/assemblies/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.SLDASM,0,0,120,0,0,0,yes,yes,Gripper should face downward; manual orientation check required after screenshot.
input_mixed_tube_rack_4x6,input_mixed_tube_rack_4x6_v1,03_cad/solidworks/converted_native/parts/input_mixed_tube_rack_4x6.SLDASM,-250,250,17.5,0,0,0,yes,yes,Rear-left mixed input rack.
category_A_output_bin_2x3,category_A_output_bin_2x3_v1,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,180,-170,17.5,0,0,0,yes,yes,Category A output bin; semantic instance name required.
category_B_output_bin_2x3,category_B_output_bin_2x3_v1,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,320,-170,17.5,0,0,0,yes,yes,Reuses same 2x3 geometry as A but must be renamed Category B instance.
category_C_output_bin_2x3,category_C_output_bin_2x3_v1,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,180,-290,17.5,0,0,0,yes,yes,Reuses same 2x3 geometry as A but must be renamed Category C instance.
category_D_output_bin_2x3,category_D_output_bin_2x3_v1,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,320,-290,17.5,0,0,0,yes,yes,Reuses same 2x3 geometry as A but must be renamed Category D instance.
manual_review_bin_2x3,manual_review_bin_2x3_v1,03_cad/solidworks/converted_native/parts/category_A_output_bin_2x3.SLDASM,-250,-300,17.5,0,0,0,yes,yes,Reuses 2x3 geometry; semantic manual review instance name required.
scan_station_reference,scan_station_reference_v1,03_cad/solidworks/converted_native/parts/scan_station_reference_block.SLDPRT,80,80,40,0,0,0,yes,no,Reference block for scan station; helps align barcode scanner and photoelectric sensor.
barcode_scanner,barcode_scanner_v1,03_cad/solidworks/converted_native/parts/Cognex_DataMan80_USB_fixed_barcode_reader_v1.SLDPRT,80,160,80,0,0,0,yes,yes,Should face scan_station; manual orientation check required.
photoelectric_sensor,photoelectric_sensor_v1,03_cad/solidworks/converted_native/parts/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.SLDPRT,20,80,60,0,0,0,yes,yes,Should face scan_station; manual orientation check required.
x_axis_motor,x_axis_motor_v1,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,390,0,260,0,0,0,no,no,Deferred until main gantry axes are correctly oriented.
y_axis_motor_left_or_common,y_axis_motor_common_v1,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,-360,-350,35,0,0,0,no,no,Deferred until Y-axis orientation and sync strategy are corrected.
y_axis_motor_right_placeholder_or_sync_note,y_axis_motor_right_reference_v1,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,360,-350,35,0,0,0,no,no,Deferred; mainline prioritizes mechanical Y synchronization.
z_axis_motor,z_axis_motor_v1,03_cad/solidworks/converted_native/parts/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.SLDPRT,0,0,300,0,0,0,no,no,Deferred until Z-axis module orientation is corrected.
limit_switch_x_home,limit_switch_x_home_v1,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,-250,0,280,0,0,0,no,no,Deferred until axis orientation and travel ends are defined.
limit_switch_y_home,limit_switch_y_home_v1,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,-390,-330,55,0,0,0,no,no,Deferred until Y-axis placement is corrected.
limit_switch_z_home,limit_switch_z_home_v1,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,40,0,230,0,0,0,no,no,Deferred until Z-axis placement is corrected.
cable_chain_xz,cable_chain_xz_v1,03_cad/solidworks/converted_native/parts/MISUMI_MHPKS204_cable_carrier_R38_18links_v1.SLDASM,120,0,240,0,0,0,no,no,Deferred until gantry axes are corrected; currently obstructs visual audit.
emergency_stop_placeholder,emergency_stop_placeholder_v1,03_cad/standard_parts/placeholders/safety/emergency_stop_visual_placeholder_v1.sldprt,-500,-420,35,0,0,0,no,no,Deferred until main body layout is corrected.
control_box_placeholder,control_box_placeholder_v1,03_cad/custom_parts/control_box/control_box_placeholder_160x120x80.step,-420,-360,40,0,0,0,no,no,Deferred; native path still not confirmed and enclosure is not needed for axis layout correction.
y_axis_sync_mechanism,y_axis_sync_shaft_placeholder_v1,03_cad/solidworks/converted_native/parts/y_axis_sync_shaft_placeholder.SLDPRT,0,-350,55,0,0,0,no,no,Deferred until Y-axis positions are corrected; currently interferes with view.
sample_tube_instances_input_demo,sample_tube_input_demo_instances,03_cad/custom_parts/sample_tube/*.step,-250,250,70,0,0,0,no,no,Deferred; sample instances should be generated after corrected bins are verified.
sample_tube_instances_output_demo,sample_tube_output_demo_instances,03_cad/custom_parts/sample_tube/*.step,250,-230,70,0,0,0,no,no,Deferred; sample instances should be generated after corrected bins are verified.
