part_id,part_name_cn,material,manufacturing_method,quantity,related_assembly,drawing_required,tolerance_level,surface_treatment,note
blood_collection_tube_purple_13x75,purple cap blood collection tube 13x75,Scene consumable model,Simplified CadQuery STEP,1 type,Sample tube set,no,visual,None,Category A scene object; not a medical consumable production drawing
blood_collection_tube_yellow_13x100,yellow cap blood collection tube 13x100,Scene consumable model,Simplified CadQuery STEP,1 type,Sample tube set,no,visual,None,Category B scene object; not a medical consumable production drawing
blood_collection_tube_blue_13x75,blue cap blood collection tube 13x75,Scene consumable model,Simplified CadQuery STEP,1 type,Sample tube set,no,visual,None,Category C scene object; not a medical consumable production drawing
blood_collection_tube_red_13x75,red cap blood collection tube 13x75,Scene consumable model,Simplified CadQuery STEP,1 type,Sample tube set,no,visual,None,Category D scene object; not a medical consumable production drawing
input_mixed_tube_rack_4x6,input mixed tube rack 4x6,POM or PC,CNC machining or 3D printed prototype,1,Tube bin layout,yes,medium,Deburred,Current STEP is simplified for course design and assembly validation
category_A_output_bin_2x3,Category A output bin 2x3,POM or PC,CNC machining or 3D printed prototype,1,Tube bin layout,yes,medium,Deburred,Current STEP is simplified for course design and assembly validation
category_B_output_bin_2x3,Category B output bin 2x3,POM or PC,CNC machining or 3D printed prototype,1,Tube bin layout,yes,medium,Deburred,Current STEP is simplified for course design and assembly validation
category_C_output_bin_2x3,Category C output bin 2x3,POM or PC,CNC machining or 3D printed prototype,1,Tube bin layout,yes,medium,Deburred,Current STEP is simplified for course design and assembly validation
category_D_output_bin_2x3,Category D output bin 2x3,POM or PC,CNC machining or 3D printed prototype,1,Tube bin layout,yes,medium,Deburred,Current STEP is simplified for course design and assembly validation
manual_review_bin_2x3,manual review bin 2x3,POM or PC,CNC machining or 3D printed prototype,1,Tube bin layout,yes,medium,Deburred,Used for scan failure unknown category full output bin or abnormal sample; current STEP is simplified
base_plate_1100x900x15,base plate 1100x900x15,6061-T6 aluminum,CNC machining,1,Rough assembly base,yes,medium,Anodized or deburred,Initial design STEP has no mounting holes; final drawing required after standard-part hole layout is frozen
scan_station_reference_block,scan station reference block,POM or aluminum,Simplified placeholder machining or prototype,1,Scan station rough layout,no,visual,Deburred,Placeholder only; used to mark held-tube scan reference position and not a final fixture
control_box_placeholder,control box placeholder,Sheet metal or plastic enclosure placeholder,Commercial enclosure or custom sheet-metal later,1,Control and safety layout,no,visual,None,Envelope placeholder only; replace with real enclosure or detailed custom part later
y_axis_sync_shaft_placeholder,Y-axis sync shaft placeholder,Steel or aluminum placeholder,Simplified CadQuery STEP,1,Y-axis synchronization concept,no,visual,None,Placeholder only; not a final shaft belt pulley coupling or dual-motor synchronization design
