route_id,source,target,route_type,moving_or_fixed,visual_modeling_status,modeled_geometry,omitted_from_visual_preview,reason,notes
R-001,control box,rear fixed cable tray,rear_service_entry,fixed,modeled,short flexible gland loops into rear tray,no,,Four compact rear service loops represent the cable gland interface.
R-002,rear fixed cable tray,cable chain fixed end,main_drag_chain_feed,moving,modeled,rear main drag chain plus fixed anchor,no,,Uses Stage 7A-3c rear cable-chain mounting tab.
R-003,cable chain moving end,X/Z carriage,moving_flexible_hose_bundle,moving,modeled,single continuous hose-like moving bundle,no,,"Clean visual proxy for X/Z carriage, Z axis, gripper, and moving sensor cable group."
R-004,cable chain moving end,Z axis,moving_axis_detail,moving,logically_represented_only,covered by main moving hose proxy,yes,Detailed Z motor and limit leads would add visual clutter and are represented by the main hose proxy.,Detailed secondary cables are represented logically in wiring manifest and omitted from visual preview for clarity.
R-005,cable chain moving end,gripper,moving_tool_detail,moving,logically_represented_only,covered by main moving hose proxy,yes,Individual gripper leads are inside the visual main hose proxy.,Detailed secondary cables are represented logically in wiring manifest and omitted from visual preview for clarity.
R-006,rear fixed cable tray,barcode scanner,fixed_sensor_detail,fixed,logically_represented_only,omitted from visual preview,yes,The scanner remains visually clear; detailed sensor pigtail is documented only.,Detailed secondary cables are represented logically in wiring manifest and omitted from visual preview for clarity.
R-007,rear fixed cable tray,photoelectric sensor,fixed_sensor_detail,fixed,logically_represented_only,omitted from visual preview,yes,The photoelectric scan line stays unobstructed; cable is documented only.,Detailed secondary cables are represented logically in wiring manifest and omitted from visual preview for clarity.
R-008,rear fixed cable tray,X/Y/Z limit switch placeholders,limit_sensor_detail,mixed,logically_represented_only,omitted from visual preview,yes,Limit wiring is kept in the electrical interface table for Stage 7A-3d and later detailed wiring.,Detailed secondary cables are represented logically in wiring manifest and omitted from visual preview for clarity.
R-009,rear fixed cable tray,bin full sensor placeholders,fixed_base_sensor_detail,fixed,logically_represented_only,omitted from visual preview,yes,Bin sensor wiring is not modeled as fine visual pigtails in v1.2.,Detailed secondary cables are represented logically in wiring manifest and omitted from visual preview for clarity.
R-010,rear fixed cable tray,input tray presence placeholders,fixed_base_sensor_detail,fixed,logically_represented_only,omitted from visual preview,yes,Input tray sensor wiring is documented but hidden in the clean preview.,Detailed secondary cables are represented logically in wiring manifest and omitted from visual preview for clarity.
R-011,grounding terminal,machine frame,grounding,fixed,logically_represented_only,omitted from visual preview,yes,Grounding concept remains in electrical documentation; no green visual cable is drawn across the model.,Detailed secondary cables are represented logically in wiring manifest and omitted from visual preview for clarity.
