component_name,instance_name,original_cad_path,resolved_path,original_extension,native_output_path,conversion_status,open_status,save_status,error_message,notes
base_plate,base_plate_1100x900x15_v1,03_cad/custom_parts/base_plate/base_plate_1100x900x15.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\base_plate\base_plate_1100x900x15.step,.step,,failed,see_log,see_log,"OpenDoc6_doc_type_1_returned_None; errors=2097152; warnings=0 | OpenDoc6_doc_type_2_returned_None; errors=2097152; warnings=0 | LoadFile4_arg_r_com_error: (-2147352571, '类型不匹配。', None, 3) | LoadFile4_arg_empty_com_error: (-2147352571, '类型不匹配。', None, 3)",base_plate_single_file_diagnostic
left_y_axis_module,left_y_axis_module_v1,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\y_axis_module\MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
right_y_axis_module,right_y_axis_module_v1,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\y_axis_module\MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
x_axis_module_on_gantry,x_axis_module_on_gantry_v1,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\x_axis_module\MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
z_axis_module,z_axis_module_v1,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\z_axis_module\MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
electric_parallel_gripper,electric_parallel_gripper_v1,03_cad/standard_parts/downloaded/gripper/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\gripper\SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
x_axis_motor,x_axis_motor_v1,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\motors\OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
y_axis_motor_left_or_common,y_axis_motor_common_v1,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\motors\OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
y_axis_motor_right_placeholder_or_sync_note,y_axis_motor_right_reference_v1,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\motors\OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
z_axis_motor,z_axis_motor_v1,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\standard_parts\downloaded\motors\OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
input_mixed_tube_rack_4x6,input_mixed_tube_rack_4x6_v1,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\tube_bins\input_mixed_tube_rack_4x6.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
category_A_output_bin_2x3,category_A_output_bin_2x3_v1,03_cad/custom_parts/tube_bins/category_A_output_bin_2x3.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\tube_bins\category_A_output_bin_2x3.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
category_B_output_bin_2x3,category_B_output_bin_2x3_v1,03_cad/custom_parts/tube_bins/category_B_output_bin_2x3.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\tube_bins\category_B_output_bin_2x3.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
category_C_output_bin_2x3,category_C_output_bin_2x3_v1,03_cad/custom_parts/tube_bins/category_C_output_bin_2x3.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\tube_bins\category_C_output_bin_2x3.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
category_D_output_bin_2x3,category_D_output_bin_2x3_v1,03_cad/custom_parts/tube_bins/category_D_output_bin_2x3.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\tube_bins\category_D_output_bin_2x3.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
manual_review_bin_2x3,manual_review_bin_2x3_v1,03_cad/custom_parts/tube_bins/manual_review_bin_2x3.step,C:\Users\29868\Desktop\作业\医用机器人\blood-sorting-robot-industrial-design\03_cad\custom_parts\tube_bins\manual_review_bin_2x3.step,.step,,skipped,not_attempted,not_attempted,stopped_after_base_plate_failure,contains_chinese
