side,check_item,expected,observed,status,notes
left,adapter_bottom_on_slider_mounting_datum,adapter bottom z equals slider top mounting datum,split binding pads bottom face z=98.600 mm on calibrated slider top datum,PASS,Two compact top pads sit on the explicit slider datum while leaving the center groove open.
left,adapter_not_on_rail_body,adapter bottom z must not equal rail body top z,"adapter bottom z=98.600 mm, rail body top z=72.600 mm",PASS,26 mm vertical separation prevents rail body from acting as the mounting datum.
left,adapter_not_intruding_rail_running_zone,no v1.7 binding geometry inside the calibrated rail keepout,split pads/webs flank x keepout; raised bridge crosses only above z=126 mm,WARNING,"Keepout is a visual/calibrated estimate, but the low adapter path has been split outside the rail center groove."
left,rail_body_not_used_as_support,rail body is reference only,amber rail body reference marked not_mounting_datum; adapter mounts to blue/cyan slider datum,PASS,Fixed rail body is not part of the load path.
left,slider_carriage_used_as_support,moving slider/carriage carries binding plate,blue/cyan original Y slider mounting datum supports each top binding plate,WARNING,"This is a calibrated visual/mechanical datum from the STEP visual bbox, not supplier-certified hole data."
left,x_beam_supported_by_slider,X beam end saddle load path starts at slider datum,slider datum -> split top pads -> raised bridge -> outside-groove webs/transfer -> compact X beam saddle,PASS,Both sides keep a visible continuous support path.
left,no_connection_to_enclosure_frame,enclosure guard must not carry load,new v1.7 parts are localized at Y sliders and X beam ends,PASS,No generated v1.7 part touches the enclosure frame intentionally.
left,no_new_motor,no generated motor or motor-like block,no motor components generated by v1.7,PASS,Fastener markers are small cylinders only.
left,no_new_rail,no auxiliary rail generated,no rail-like generated support except amber rail reference datum,PASS,The amber rail body object is labeled reference_not_mounting_datum.
left,tube_clearance_not_obviously_blocked,no low large plate sweeping across tube racks,binding assembly remains at outboard gantry ends and above tube top envelope,PASS,No broad low adapter plate crosses the tube zone.
right,adapter_bottom_on_slider_mounting_datum,adapter bottom z equals slider top mounting datum,split binding pads bottom face z=98.600 mm on calibrated slider top datum,PASS,Two compact top pads sit on the explicit slider datum while leaving the center groove open.
right,adapter_not_on_rail_body,adapter bottom z must not equal rail body top z,"adapter bottom z=98.600 mm, rail body top z=72.600 mm",PASS,26 mm vertical separation prevents rail body from acting as the mounting datum.
right,adapter_not_intruding_rail_running_zone,no v1.7 binding geometry inside the calibrated rail keepout,split pads/webs flank x keepout; raised bridge crosses only above z=126 mm,WARNING,"Keepout is a visual/calibrated estimate, but the low adapter path has been split outside the rail center groove."
right,rail_body_not_used_as_support,rail body is reference only,amber rail body reference marked not_mounting_datum; adapter mounts to blue/cyan slider datum,PASS,Fixed rail body is not part of the load path.
right,slider_carriage_used_as_support,moving slider/carriage carries binding plate,blue/cyan original Y slider mounting datum supports each top binding plate,WARNING,"This is a calibrated visual/mechanical datum from the STEP visual bbox, not supplier-certified hole data."
right,x_beam_supported_by_slider,X beam end saddle load path starts at slider datum,slider datum -> split top pads -> raised bridge -> outside-groove webs/transfer -> compact X beam saddle,PASS,Both sides keep a visible continuous support path.
right,no_connection_to_enclosure_frame,enclosure guard must not carry load,new v1.7 parts are localized at Y sliders and X beam ends,PASS,No generated v1.7 part touches the enclosure frame intentionally.
right,no_new_motor,no generated motor or motor-like block,no motor components generated by v1.7,PASS,Fastener markers are small cylinders only.
right,no_new_rail,no auxiliary rail generated,no rail-like generated support except amber rail reference datum,PASS,The amber rail body object is labeled reference_not_mounting_datum.
right,tube_clearance_not_obviously_blocked,no low large plate sweeping across tube racks,binding assembly remains at outboard gantry ends and above tube top envelope,PASS,No broad low adapter plate crosses the tube zone.
