part_id,part_name_en,candidate_supplier,candidate_series_or_model,meets_travel_or_size,meets_load_or_force,has_supplier_cad,cad_access_method,manual_download_required,preferred_format,interface_risk,selection_status,notes
SP-002,left_y_axis_module,MISUMI,TBD belt-driven actuator or guide/belt assembly,TBD,TBD,TBD,Configurator or supplier CAD portal,yes,SLDASM/STEP,High,not_selected,Must define left Y datum height drive or sync side and carriage interface
SP-002,left_y_axis_module,THK or HIWIN-equivalent,TBD linear guide plus belt-drive assembly,TBD,TBD,TBD,Supplier CAD portal,yes,STEP,High,not_selected,Alternative if MISUMI packaging is unsuitable
SP-025,right_y_axis_module,MISUMI,TBD matched actuator or guide/belt assembly,TBD,TBD,TBD,Configurator or supplier CAD portal,yes,SLDASM/STEP,High,not_selected,Must match SP-002 height rail datum and carriage top plane
SP-025,right_y_axis_module,THK or HIWIN-equivalent,TBD matched guide/module assembly,TBD,TBD,TBD,Supplier CAD portal,yes,STEP,High,not_selected,Alternative right-side guide if mechanical sync layout is custom
SP-026,y_axis_sync_mechanism,MISUMI,TBD timing shaft belt pulley bearing coupling set,TBD,TBD,TBD,Configurator or supplier CAD portal,yes,STEP/SLDPRT,High,not_selected,Single motor mechanical synchronization is preferred baseline
SP-026,y_axis_sync_mechanism,McMaster-Carr or Gates,TBD timing belt pulley and shaft components,TBD,TBD,TBD,Supplier CAD/catalog page,yes,STEP,High,not_selected,Use only after pitch width tooth count shaft diameter and bearing spacing are selected
SP-001,x_axis_module_on_gantry,MISUMI,TBD belt-driven actuator series,TBD,TBD,TBD,Configurator or supplier CAD portal,yes,SLDASM/STEP,High,not_selected,Do not freeze until stroke carriage motor side and gantry mount are selected
SP-001,x_axis_module_on_gantry,THK or HIWIN-equivalent,TBD actuator or guide-based assembly,TBD,TBD,TBD,Supplier CAD portal,yes,SLDASM/STEP,High,not_selected,Alternative if MISUMI module packaging is unsuitable
SP-003,z_axis_screw_module,MISUMI,TBD lead-screw actuator,TBD,TBD,TBD,Configurator or supplier CAD portal,yes,SLDASM/STEP,High,not_selected,Lead and holding behavior must be reviewed
SP-003,z_axis_screw_module,THK,TBD compact actuator,TBD,TBD,TBD,Supplier CAD portal,yes,SLDASM/STEP,High,not_selected,Alternative if compact vertical packaging is better
SP-004;SP-005;SP-006,motors,Oriental Motor,TBD closed-loop stepper or servo,TBD,TBD,TBD,Supplier CAD portal,yes,SLDPRT/STEP,High,not_selected,Torque-speed curve required; Y motor assumes mechanical synchronization
SP-004;SP-005;SP-006,motors,Leadshine or Delta,TBD closed-loop stepper or compact servo,TBD,TBD,TBD,Supplier CAD or distributor,TBD,STEP,High,not_selected,Check shaft flange drawings and cable exit
SP-007,xyz_linear_guides_and_carriage_blocks,THK,TBD LM guide series,TBD,TBD,TBD,THK CAD portal,yes,STEP/X_T,High,not_selected,Use only if not integrated into actuator CAD
SP-007,xyz_linear_guides_and_carriage_blocks,HIWIN,TBD compact linear guide series,TBD,TBD,TBD,Supplier CAD portal,yes,STEP,High,not_selected,Verify rail hole pitch block height and parallel guide option
SP-013,electric_parallel_gripper,SMC,TBD LEH/LEHF class,TBD,TBD,TBD,SMC CAD portal,yes,SLDASM/STEP,High,not_selected,Tube grip force and stroke must be checked
SP-013,electric_parallel_gripper,Festo,TBD EHPS class,TBD,TBD,TBD,Festo CAD portal or supplier page,yes,SLDASM/STEP,High,not_selected,Check flange and finger geometry
SP-016,limit_switches,Omron,TBD compact limit switch,TBD,TBD,TBD,Supplier CAD or TraceParts,yes,STEP,Medium,not_selected,Homing repeatability and actuator direction matter
SP-019,emergency_stop,Schneider or Siemens,TBD 22 mm panel E-stop,TBD,TBD,TBD,Supplier CAD or TraceParts,yes,STEP,Medium,not_selected,Panel cutout and contact depth required
