component_name,part_id,cad_file_path,instance_name,approx_x_mm,approx_y_mm,approx_z_mm,rotation_x_deg,rotation_y_deg,rotation_z_deg,fixed_or_movable,assembly_role,mate_strategy_later,manual_check_required,notes
base_plate,CP-BASE,TBD,base_plate_1100x900x15_v1,0,0,-7.5,0,0,0,fixed,base reference,Fix to origin; later mate top plane to DATUM_BASE_TOP,yes,self-made base plate CAD not generated in 4A; use envelope 1100x900x15
left_y_axis_module,SP-002,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,left_y_axis_module_v1,-360,0,35,0,0,0,fixed,left Y gantry module,Later mate base to base plate and align along Y,yes,MSA-628 orientation along Y; not final hole position
right_y_axis_module,SP-025,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,right_y_axis_module_v1,360,0,35,0,0,0,fixed,right Y gantry module,Later mate base to base plate and align parallel to left Y,yes,same MSA-628 CAD instantiated as right Y; orientation check required
x_axis_module_on_gantry,SP-001,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,x_axis_module_on_gantry_v1,0,0,260,0,0,0,movable_subassembly,X axis on gantry,Later mate to gantry beam and align along X,yes,MSA-628 orientation along X; X beam height is rough value
z_axis_module,SP-003,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,z_axis_module_v1,0,0,220,0,0,0,movable,vertical Z lifting module,Later mate to X carriage; align Z vertical,yes,LS10 vertical orientation and motor clearance require manual check
electric_parallel_gripper,SP-013,03_cad/standard_parts/downloaded/gripper/SMC_LEHF20_2finger_parallel_gripper_24stroke_v1.step,electric_parallel_gripper_v1,0,0,120,0,0,0,movable,end effector,Later mate to gripper adapter and align centerline to Z axis,yes,fingers downward; grip centerline must align with tube center
x_axis_motor,SP-004,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,x_axis_motor_v1,390,0,260,0,0,0,fixed_to_axis,X motor envelope,Later mate to X module motor side,yes,same AZM46AK CAD; motor side/orientation must be checked
y_axis_motor_left_or_common,SP-005,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,y_axis_motor_common_v1,-360,-350,35,0,0,0,fixed_to_axis,Y sync drive motor envelope,Later mate to Y drive/sync input bracket,yes,mainline prefers one Y motor plus mechanical sync; rough placement only
y_axis_motor_right_placeholder_or_sync_note,SP-005,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,y_axis_motor_right_reference_v1,360,-350,35,0,0,0,reference,right-side motor reference or sync note,Do not mate as final motor unless dual-motor route is chosen,yes,uses same motor CAD only as envelope/risk note; mainline is mechanical sync not independent right motor
z_axis_motor,SP-006,03_cad/standard_parts/downloaded/motors/OrientalMotor_AZM46AK_NEMA17_42mm_absolute_encoder_stepper_v1.step,z_axis_motor_v1,0,0,300,0,0,0,fixed_to_axis,Z motor envelope,Later mate to LS10 T42 adapter region,yes,same AZM46AK CAD; adapter compatibility and orientation require check
input_mixed_tube_rack_4x6,CP-BIN-INPUT,03_cad/custom_parts/tube_bins/input_mixed_tube_rack_4x6.step,input_mixed_tube_rack_4x6_v1,-250,250,17.5,0,0,0,fixed,mixed input rack,Later mate bottom to base top and locate with pins,no,rear-left input area; not final hole position
category_A_output_bin_2x3,CP-BIN-A,03_cad/custom_parts/tube_bins/category_A_output_bin_2x3.step,category_A_output_bin_2x3_v1,180,-170,17.5,0,0,0,fixed,Category A output bin,Later mate bottom to base top and locate with pins,no,front/right output group upper-left
category_B_output_bin_2x3,CP-BIN-B,03_cad/custom_parts/tube_bins/category_B_output_bin_2x3.step,category_B_output_bin_2x3_v1,320,-170,17.5,0,0,0,fixed,Category B output bin,Later mate bottom to base top and locate with pins,no,front/right output group upper-right
category_C_output_bin_2x3,CP-BIN-C,03_cad/custom_parts/tube_bins/category_C_output_bin_2x3.step,category_C_output_bin_2x3_v1,180,-290,17.5,0,0,0,fixed,Category C output bin,Later mate bottom to base top and locate with pins,no,front/right output group lower-left
category_D_output_bin_2x3,CP-BIN-D,03_cad/custom_parts/tube_bins/category_D_output_bin_2x3.step,category_D_output_bin_2x3_v1,320,-290,17.5,0,0,0,fixed,Category D output bin,Later mate bottom to base top and locate with pins,no,front/right output group lower-right
manual_review_bin_2x3,CP-BIN-MR,03_cad/custom_parts/tube_bins/manual_review_bin_2x3.step,manual_review_bin_2x3_v1,-250,-300,17.5,0,0,0,fixed,manual review exception bin,Later mate bottom to base top and locate with pins,no,front-left exception area
scan_station_reference,CP-SCAN-REF,TBD,scan_station_reference_v1,80,80,40,0,0,0,fixed_reference,scan station datum,Later replace with reference block/brackets,yes,CAD not generated in 4A; use coordinate datum only
barcode_scanner,SP-018,03_cad/standard_parts/downloaded/barcode_scanner/Cognex_DataMan80_USB_fixed_barcode_reader_v1.step,barcode_scanner_v1,80,160,80,0,0,0,fixed,Cognex fixed scanner,Later mate to scanner bracket; orient toward scan station,yes,facing scan station; line-of-sight check required
photoelectric_sensor,SP-017,03_cad/standard_parts/downloaded/sensors/Panasonic_CX421J_diffuse_photoelectric_sensor_v1.step,photoelectric_sensor_v1,20,80,60,0,0,0,fixed,Panasonic tube presence sensor,Later mate to sensor bracket; aim at tube body,yes,orientation toward scan-station tube required
limit_switch_x_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,limit_switch_x_home_v1,-250,0,280,0,0,0,fixed,X home switch envelope,Later mate to X-axis switch bracket and trigger target,yes,rough position only
limit_switch_y_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,limit_switch_y_home_v1,-390,-330,55,0,0,0,fixed,Y home switch envelope,Later mate to Y-axis switch bracket and trigger target,yes,rough left Y home position only
limit_switch_z_home,SP-016,03_cad/standard_parts/downloaded/sensors/OMRON_D4N_roller_lever_limit_switch_v1.step,limit_switch_z_home_v1,40,0,230,0,0,0,fixed,Z home switch envelope,Later mate to Z-axis switch bracket and trigger target,yes,rough position only
cable_chain_xz,SP-015,03_cad/standard_parts/downloaded/cable_chain/MISUMI_MHPKS204_cable_carrier_R38_18links_v1.step,cable_chain_xz_v1,120,0,240,0,0,0,reference,X/Z cable management envelope,Later mate fixed and moving ends to brackets,yes,first route only; can copy later for Y axis
emergency_stop_placeholder,SP-019,03_cad/standard_parts/placeholders/safety/emergency_stop_visual_placeholder_v1.sldprt,emergency_stop_placeholder_v1,-500,-420,35,0,0,0,fixed,operator emergency stop placeholder,Later mount to control panel or base-edge plate,yes,visual placeholder only; official vendor CAD required later
control_box_placeholder,CP-CTRL,TBD,control_box_placeholder_v1,-420,-360,40,0,0,0,fixed_reference,control box envelope,Later replace with control box or sheet-metal enclosure CAD,yes,CAD not generated in 4A; use envelope 160x120x80
sample_tube_instances_input_demo,CP-TUBE-SET,03_cad/custom_parts/sample_tube/*.step,sample_tube_input_demo_instances,-250,250,70,0,0,0,scenario,mixed input tube scene instances,Later instantiate according to sample_manifest.csv,yes,do not expand all 24 instances in 4A table; use four tube STEP variants
sample_tube_instances_output_demo,CP-TUBE-SET,03_cad/custom_parts/sample_tube/*.step,sample_tube_output_demo_instances,250,-230,70,0,0,0,scenario,output tube scene instances,Later instantiate according to sample_manifest.csv result bins,yes,do not expand all output instances in 4A table; use four tube STEP variants
