component_name,instance_name,expected_color,material_or_role,r,g,b,a,source_path,notes
base_plate,base_plate_1200x900x15,base_light_gray,base_plate,0.7,0.72,0.74,1.0,generated:base_plate_1200x900x15,v7 generated 1200 x 900 x 15 mm base plate
adapter_plate,xz_adapter_plate_simplified,adapter_gray,adapter_gray,0.5,0.54,0.56,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
mount_hole_marker_1,xz_adapter_plate_simplified,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
mount_hole_marker_2,xz_adapter_plate_simplified,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
mount_hole_marker_3,xz_adapter_plate_simplified,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
mount_hole_marker_4,xz_adapter_plate_simplified,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:xz_adapter_plate_simplified,adapter at X/Z tool-chain interface
plate_base,label_plate_INPUT_1,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_INPUT_1,input_box_1 side label
light_marker,label_plate_INPUT_1,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_INPUT_1,input_box_1 side label
plate_base,label_plate_INPUT_2,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_INPUT_2,input_box_2 side label
light_marker,label_plate_INPUT_2,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_INPUT_2,input_box_2 side label
plate_base,label_plate_INPUT_3,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_INPUT_3,input_box_3 side label
light_marker,label_plate_INPUT_3,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_INPUT_3,input_box_3 side label
plate_base,label_plate_INPUT_4,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_INPUT_4,input_box_4 side label
light_marker,label_plate_INPUT_4,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_INPUT_4,input_box_4 side label
holder_base,scan_tube_holder,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:scan_tube_holder,scan station holder
tube_socket_marker,scan_tube_holder,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:scan_tube_holder,scan station holder
vertical_post,barcode_scanner_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:barcode_scanner_mount_bracket,scanner bracket
scanner_support_arm,barcode_scanner_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:barcode_scanner_mount_bracket,scanner bracket
base_foot,barcode_scanner_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:barcode_scanner_mount_bracket,scanner bracket
vertical_post,photoelectric_sensor_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:photoelectric_sensor_mount_bracket,sensor bracket
sensor_support_arm,photoelectric_sensor_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:photoelectric_sensor_mount_bracket,sensor bracket
base_foot,photoelectric_sensor_mount_bracket,bracket_gray,bracket_gray,0.32,0.34,0.35,1.0,generated:photoelectric_sensor_mount_bracket,sensor bracket
plate_base,label_plate_SCAN,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_SCAN,scan station label
light_marker,label_plate_SCAN,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_SCAN,scan station label
plate_base,label_plate_A,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_A,Category A output front label
light_marker,label_plate_A,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_A,Category A output front label
plate_base,label_plate_B,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_B,Category B output front label
light_marker,label_plate_B,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_B,Category B output front label
plate_base,label_plate_C,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_C,Category C output front label
light_marker,label_plate_C,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_C,Category C output front label
plate_base,label_plate_D,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_D,Category D output front label
light_marker,label_plate_D,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_D,Category D output front label
plate_base,label_plate_REVIEW,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:label_plate_REVIEW,manual review label
light_marker,label_plate_REVIEW,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:label_plate_REVIEW,manual review label
control_box_body,control_box_placeholder,control_box_dark,control_box,0.16,0.18,0.2,1.0,generated:control_box_placeholder,rear/right electrical control box placeholder
front_panel_marker,control_box_placeholder,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:control_box_placeholder,rear/right electrical control box placeholder
estop_base,emergency_stop_placeholder,label_plate_dark,plate_dark,0.04,0.04,0.04,1.0,generated:emergency_stop_placeholder,front reachable emergency stop placeholder
red_button,emergency_stop_placeholder,safety_red,safety_red,0.9,0.02,0.02,1.0,generated:emergency_stop_placeholder,front reachable emergency stop placeholder
rear_chain_path,cable_chain_path_placeholder,cable_chain_black,cable_chain,0.03,0.03,0.03,1.0,generated:cable_chain_path_placeholder,rear cable chain path placeholder
moving_drop_path,cable_chain_path_placeholder,cable_chain_black,cable_chain,0.03,0.03,0.03,1.0,generated:cable_chain_path_placeholder,rear cable chain path placeholder
rear_guard_panel,transparent_guard_frame_placeholder,transparent_guard,guard,0.65,0.85,1.0,0.25,generated:transparent_guard_frame_placeholder,transparent perimeter guard frame placeholder
left_rear_guard_panel,transparent_guard_frame_placeholder,transparent_guard,guard,0.65,0.85,1.0,0.25,generated:transparent_guard_frame_placeholder,transparent perimeter guard frame placeholder
right_rear_guard_panel,transparent_guard_frame_placeholder,transparent_guard,guard,0.65,0.85,1.0,0.25,generated:transparent_guard_frame_placeholder,transparent perimeter guard frame placeholder
front_left_access_frame,transparent_guard_frame_placeholder,transparent_guard,guard,0.65,0.85,1.0,0.25,generated:transparent_guard_frame_placeholder,transparent perimeter guard frame placeholder
front_right_access_frame,transparent_guard_frame_placeholder,transparent_guard,guard,0.65,0.85,1.0,0.25,generated:transparent_guard_frame_placeholder,transparent perimeter guard frame placeholder
top_rear_guard_rail,transparent_guard_frame_placeholder,transparent_guard,guard,0.65,0.85,1.0,0.25,generated:transparent_guard_frame_placeholder,transparent perimeter guard frame placeholder
left_top_access_rail,transparent_guard_frame_placeholder,transparent_guard,guard,0.65,0.85,1.0,0.25,generated:transparent_guard_frame_placeholder,transparent perimeter guard frame placeholder
right_top_access_rail,transparent_guard_frame_placeholder,transparent_guard,guard,0.65,0.85,1.0,0.25,generated:transparent_guard_frame_placeholder,transparent perimeter guard frame placeholder
limit_switch_body,limit_switch_placeholder_1,sensor_dark_gray,sensor_dark_gray,0.14,0.14,0.14,1.0,generated:limit_switch_placeholder_1,axis end limit switch placeholder
limit_switch_lever,limit_switch_placeholder_1,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:limit_switch_placeholder_1,axis end limit switch placeholder
limit_switch_body,limit_switch_placeholder_2,sensor_dark_gray,sensor_dark_gray,0.14,0.14,0.14,1.0,generated:limit_switch_placeholder_2,axis end limit switch placeholder
limit_switch_lever,limit_switch_placeholder_2,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:limit_switch_placeholder_2,axis end limit switch placeholder
limit_switch_body,limit_switch_placeholder_3,sensor_dark_gray,sensor_dark_gray,0.14,0.14,0.14,1.0,generated:limit_switch_placeholder_3,axis end limit switch placeholder
limit_switch_lever,limit_switch_placeholder_3,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:limit_switch_placeholder_3,axis end limit switch placeholder
limit_switch_body,limit_switch_placeholder_4,sensor_dark_gray,sensor_dark_gray,0.14,0.14,0.14,1.0,generated:limit_switch_placeholder_4,axis end limit switch placeholder
limit_switch_lever,limit_switch_placeholder_4,label_plate_text_light,plate_text,0.92,0.92,0.86,1.0,generated:limit_switch_placeholder_4,axis end limit switch placeholder
imported_shape,left_y_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,v7 outer left Y axis clears multi-input box stack
imported_shape,right_y_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/y_axis_module/MISUMI_MSA628_Y_axis_L750_double_shaft_B1_v1.step,v7 outer right Y axis clears multi-output box stack
imported_shape,x_axis_module_on_gantry,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/x_axis_module/MISUMI_MSA628_X_axis_L750_double_shaft_B1_v1.step,v7 central X axis spans input scan and output zones
imported_shape,z_axis_module,dark_gray,axis_dark_gray,0.22,0.23,0.24,1.0,03_cad/standard_parts/downloaded/z_axis_module/MISUMI_LS10_Z_axis_140stroke_T42_ball_screw_v1.step,v7 vertical Z module aligned to central tool chain
